Name,Saison,Rating,Age,Mean,Growth
Anthony Mounier,2009,6.91,22,6.845714285714287,-0.5200000000000005
Anthony Réveillere,2009,7.0,30,6.87,-0.08999999999999986
Anthony Vanden Borre,2009,6.74,22,6.74,0.0
Anton Ferdinand,2009,6.83,25,6.7875,-0.07000000000000028
Antonio Barragán,2009,6.87,22,6.7725,0.1299999999999999
Antonio Buscé,2009,6.9,34,6.695,0.41000000000000014
Antonio Candreva,2009,7.15,22,6.9969230769230775,0.6399999999999997
Antonio Cassano,2009,7.32,27,7.016666666666667,0.6200000000000001
Antonio Di Natale,2009,7.58,32,7.135714285714285,-0.6399999999999997
Antonio Filippini,2009,6.55,36,6.5600000000000005,-0.020000000000000462
Antonio Floro Flores,2009,7.01,27,6.885000000000001,-0.4800000000000004
Antonio Géder,2009,6.23,32,6.23,0.0
Antonio López,2009,6.95,28,6.915,-0.07000000000000028
Antonio Mirante,2009,6.76,26,6.7509999999999994,0.22999999999999954
Antonio Nocerino,2009,6.82,25,6.675999999999999,0.010000000000000675
Antonio Tomás,2009,6.57,25,6.725,0.3099999999999996
Antonio Valencia,2009,7.47,24,7.208571428571429,-0.29000000000000004
Antony Lecointe,2009,7.16,29,7.16,0.0
Antoñito,2009,6.29,22,6.35,0.1200000000000001
Apoula Edel,2009,6.93,24,6.885,0.08999999999999986
Apoño,2009,6.57,26,6.992500000000001,0.5499999999999998
Aranda,2009,6.74,29,6.74,0.0
Ariel Ibagaza,2009,6.73,33,6.73,0.0
Aristide Bancé,2009,7.03,25,7.03,0.0
Aritz Aduriz,2009,7.26,28,6.9879999999999995,0.11000000000000032
Arjen Robben,2009,8.18,25,7.777777777777778,1.080000000000001
Arnaud Le Lan,2009,7.19,32,6.692500000000001,-0.6100000000000003
Arne Friedrich,2009,6.87,31,6.855,-0.03000000000000025
Arnold Bruggink,2009,6.8,32,6.8,0.0
Arnold Mvuemba,2009,6.94,25,6.698333333333334,0.27000000000000046
Arthur Boka,2009,7.04,27,6.87,0.09999999999999964
Arturo Vidal,2009,7.3,22,7.344545454545454,-0.03000000000000025
Aruna Dindane,2009,7.04,29,7.04,0.0
Asamoah Gyan,2009,7.05,24,6.955,0.1899999999999995
Ashkan Dejagah,2009,6.43,23,6.684,-0.5999999999999996
Ashley Cole,2009,7.41,29,6.998333333333332,-0.040000000000000036
Ashley Young,2009,7.08,24,6.863846153846153,-0.6800000000000006
Asier Del Horno,2009,6.84,29,6.95,0.1900000000000004
Aurélien Capoue,2009,6.74,28,6.74,0.0
Aurélien Chedjou,2009,7.26,25,7.058,-0.2599999999999998
Ayoze,2009,6.83,24,6.83,0.0
Ayoze Díaz,2009,6.83,28,6.636666666666667,-0.16000000000000014
Aythami Artiles,2009,6.69,23,6.840000000000001,0.019999999999999574
Bacary Sagna,2009,7.06,26,7.048750000000001,0.040000000000000036
Bafétimbi Gomis,2009,6.81,24,6.771249999999999,0.08999999999999986
Bakari Koné,2009,6.68,28,6.68,0.0
Bakary Sako,2009,6.83,21,6.78,-0.040000000000000036
Bakary Soumaré,2009,6.5,24,6.5,0.0
Bakaye Traoré,2009,6.78,25,6.87,-0.040000000000000036
Barry Ferguson,2009,6.82,32,6.755000000000001,0.1299999999999999
Bastian Schweinsteiger,2009,7.55,25,7.364285714285714,-0.2599999999999998
Benedikt Höwedes,2009,7.12,21,7.035,0.15999999999999925
Benjamin Angoua,2009,6.9,23,6.788571428571428,0.08000000000000007
Benjamin Gavanon,2009,6.62,29,6.635,0.03000000000000025
Benjamin Köhler,2009,6.85,29,6.85,0.0
Benoit Assou-Ekotto,2009,7.33,26,6.968571428571429,0.11000000000000032
Benoit Cheyrou,2009,7.31,29,7.142,-0.04999999999999982
Benoit Pedretti,2009,7.53,29,7.003333333333333,-0.2600000000000007
Benoît Trémoulinas,2009,6.95,24,6.875714285714286,-0.009999999999999787
Bernard Mendy,2009,6.59,28,6.84,-0.5
Bira Dembélé,2009,6.36,22,6.36,0.0
Blaise Matuidi,2009,7.09,22,7.02090909090909,0.2699999999999996
Blerim Dzemaili,2009,6.97,24,6.904444444444445,0.019999999999999574
Bo Svensson,2009,6.7,30,6.7675,0.02999999999999936
Boaz Myhill,2009,6.62,27,6.782500000000001,0.009999999999999787
Bobby Zamora,2009,7.02,29,6.75,0.5299999999999994
Bocundji Ca,2009,6.25,23,6.255,0.009999999999999787
Bojan,2009,6.92,19,6.8675,-0.3099999999999996
Boris Vukcevic,2009,6.45,20,6.66,-0.1900000000000004
Borja Fernández,2009,6.77,28,6.714,0.010000000000000675
Borja Valero,2009,7.32,24,7.0040000000000004,-0.11000000000000032
Bostjan Cesar,2009,6.65,27,6.736666666666666,0.13999999999999968
Boubacar Sanogo,2009,6.72,27,6.72,0.0
Boukary Dramé,2009,7.03,24,7.18,0.22999999999999954
Brad Friedel,2009,6.91,39,6.63,-0.11000000000000032
Brandão,2009,7.21,30,6.773999999999999,-0.5700000000000003
Branislav Ivanovic,2009,7.47,26,7.194285714285714,0.04999999999999982
Brede Hangeland,2009,7.2,29,7.098333333333334,-0.5599999999999996
Brett Emerton,2009,6.42,31,6.515000000000001,-0.1900000000000004
Brian Jensen,2009,6.62,35,6.62,0.0
Brown Ideye,2009,6.59,21,6.653333333333333,0.6499999999999995
Bruno,2009,6.87,29,6.744,0.019999999999999574
Bruno Soriano,2009,7.11,25,7.292857142857144,0.3199999999999994
Cacau,2009,7.17,29,6.989999999999999,0.1200000000000001
Caio Cesar,2009,6.75,24,6.595000000000001,-0.3099999999999996
Cameron Jerome,2009,7.23,23,6.68,0.03000000000000025
Cani,2009,6.82,28,6.837999999999999,0.20999999999999996
Carles Puyol,2009,7.27,32,7.0825000000000005,-0.07999999999999918
Carlos Bellvis,2009,6.63,25,6.63,0.0
Carlos Bocanegra,2009,6.86,31,6.84,-0.040000000000000036
Carlos Calvo,2009,6.53,24,6.53,0.0
Carlos Cuellar,2009,7.48,28,7.1675,0.5
Carlos Diogo,2009,6.83,26,6.8149999999999995,-0.03000000000000025
Carlos Eduardo,2009,7.36,22,7.135,0.4500000000000002
Carlos Kameni,2009,6.78,26,6.802,-0.040000000000000036
Carlos Marchena,2009,6.8,30,6.906666666666666,0.28000000000000025
Carlos Sánchez,2009,6.91,23,6.755555555555556,0.0699999999999994
Carlos Tevez,2009,7.57,26,7.536,0.03000000000000025
Carlos Zambrano,2009,6.97,20,6.908333333333334,0.1299999999999999
Carlton Cole,2009,7.04,26,6.6499999999999995,0.54
Carmelo,2009,6.39,26,6.39,0.0
Casado,2009,6.88,23,7.013333333333333,0.16000000000000014
Casquero,2009,6.75,34,6.5566666666666675,-0.29000000000000004
Cata Díaz,2009,6.97,30,7.013333333333333,0.03000000000000025
Ceará,2009,6.93,30,6.846666666666667,-0.14999999999999947
Cedric Hengbart,2009,7.19,29,6.9,-0.16000000000000014
Cedric Varrault,2009,6.97,30,6.84,-0.20000000000000018
Cedrick Makiadi,2009,6.69,26,6.938,-0.27999999999999936
Cesare Bovo,2009,7.22,27,6.95,-0.08999999999999986
Cesare Natali,2009,6.63,31,6.88,0.5
Cesc Fàbregas,2009,8.25,22,7.261818181818184,-1.12
Cha Du-Ri,2009,6.42,29,6.42,0.0
Chaouki Ben Saada,2009,6.78,26,6.6850000000000005,-0.1900000000000004
Charles Kaboré,2009,7.01,22,6.852500000000001,-0.2699999999999996
Charles N'Zogbia,2009,7.22,24,6.8340000000000005,0.04999999999999982
Cheikh M'Bengue,2009,7.15,21,6.99625,0.0
Chico Flores,2009,6.93,23,7.2375,0.3200000000000003
Chinedu Obasi,2009,7.22,24,7.17,0.09999999999999964
Chris,2009,7.09,31,7.09,0.0
Chris Baird,2009,6.99,28,6.885,-0.08000000000000007
Chris Eagles,2009,6.69,24,6.79,-0.1999999999999993
Chris Kirkland,2009,6.51,29,6.51,0.0
Chris Malonga,2009,6.8,22,6.8,0.0
Christian Benitez,2009,6.74,24,6.74,0.0
Christian Eichner,2009,6.82,27,6.66,0.14000000000000057
Christian Eigler,2009,6.57,26,6.543333333333334,0.13999999999999968
Christian Fernández,2009,7.34,24,7.039999999999999,-0.28000000000000025
Christian Fuchs,2009,6.9,23,7.18625,-0.15000000000000036
Christian Gentner,2009,7.22,24,6.899090909090909,-0.6500000000000004
Christian Maggio,2009,7.06,27,7.131666666666667,-0.25
Christian Panucci,2009,6.82,37,6.82,0.0
Christian Poulsen,2009,6.66,30,6.78,-0.2400000000000002
Christian Schulz,2009,6.79,27,6.764285714285713,0.16000000000000014
Christian Terlizzi,2009,6.9,30,6.9,0.0
Christian Träsch,2009,7.21,22,7.011666666666668,0.4300000000000006
Christoph Dabrowski,2009,6.76,32,6.76,0.0
Christoph Moritz,2009,6.69,20,6.75,-0.11999999999999922
Christoph Spycher,2009,6.52,32,6.52,0.0
Christophe Berra,2009,7.06,25,6.829999999999999,0.25
Christophe Jallet,2009,7.14,26,7.114999999999999,-0.40000000000000036
Christophe Landrin,2009,6.65,33,6.465,-0.3700000000000001
Christopher Samba,2009,7.55,26,7.1450000000000005,0.21999999999999975
Christopher Schorch,2009,6.77,21,6.77,0.0
Chung-Yong Lee,2009,7.0,21,6.965,0.07000000000000028
Ciprian Marica,2009,7.03,24,6.83,-0.40000000000000036
Ciro Capuano,2009,6.98,28,6.955,0.05000000000000071
Clarence Seedorf,2009,7.06,34,6.9799999999999995,0.019999999999999574
Clarke Carlisle,2009,7.03,30,7.03,0.0
Claude Makelele,2009,6.82,37,6.800000000000001,-0.040000000000000036
Claudio Bellucci,2009,6.5,35,6.5,0.0
Claudio Marchisio,2009,6.86,23,7.161249999999999,-0.07000000000000028
Claudio Pizarro,2009,7.63,31,7.109999999999999,0.23999999999999932
Claudio Terzi,2009,6.98,25,6.936666666666667,0.28000000000000025
Clemens Fritz,2009,7.24,29,6.987500000000001,-0.16000000000000014
Clint Dempsey,2009,7.21,27,7.130000000000001,0.1200000000000001
Clément Chantôme,2009,6.55,22,6.916666666666667,-0.05999999999999961
Colin Kazim-Richards,2009,6.56,23,6.56,0.0
Constant Djakpa,2009,6.8,23,6.9350000000000005,-0.27000000000000046
Corona,2009,6.67,29,6.6225,-0.11000000000000032
Cote,2009,6.82,20,7.044999999999999,0.3899999999999997
Craig Bellamy,2009,7.2,30,6.8,-0.20000000000000018
Craig Fagan,2009,6.45,27,6.45,0.0
Craig Gardner,2009,6.86,23,6.853333333333333,-0.13999999999999968
Craig Gordon,2009,6.89,27,6.79,0.1999999999999993
Cris,2009,7.47,33,7.1499999999999995,-0.5199999999999996
Cristian Brocchi,2009,6.91,34,6.760000000000001,0.14000000000000057
Cristian Chivu,2009,6.97,29,6.966666666666666,-0.0600000000000005
Cristian Ledesma,2009,7.17,27,7.098000000000001,-0.3700000000000001
Cristian Llama,2009,7.05,24,7.05,0.0
Cristian Molinaro,2009,7.03,26,6.83,0.16999999999999993
Cristian Raimondi,2009,6.92,29,6.9125,-0.21999999999999975
Cristian Zaccardo,2009,7.06,28,6.998,-0.019999999999999574
Cristian Zenoni,2009,6.44,33,6.44,0.0
Cristiano Del Grosso,2009,6.74,27,6.8,-0.3200000000000003
Cristiano Doni,2009,6.82,37,6.82,0.0
Cristiano Lucarelli,2009,6.74,34,6.74,0.0
Cristiano Ronaldo,2009,8.54,24,7.948461538461538,-0.05999999999999872
Cristiano Zanetti,2009,6.67,33,6.67,0.0
Cristián Zapata,2009,7.05,23,7.008999999999999,0.33000000000000007
Cyriaque Louvion,2009,6.51,22,6.51,0.0
Cyril Jeunechamp,2009,6.84,34,6.845,0.009999999999999787
Cédric Carrasso,2009,6.76,28,6.725,-0.16999999999999993
Cédric Mongongu,2009,6.79,21,6.738333333333333,0.08000000000000007
César,2009,7.28,38,7.205,0.15000000000000036
César Arzo,2009,6.93,24,6.93,0.0
César Azpilicueta,2009,7.04,20,7.019999999999999,0.07000000000000028
César Delgado,2009,6.76,28,6.76,0.0
Cícero,2009,7.15,25,6.865,-0.5700000000000003
Daisuke Matsui,2009,6.97,29,6.97,0.0
Damiano Zenoni,2009,6.83,33,6.83,0.0
Damien Duff,2009,7.2,31,6.835,0.39000000000000057
Damien Marcq,2009,6.87,21,6.74,-0.2599999999999998
Damien Perquis,2009,6.99,26,6.83,0.019999999999999574
Damián Macaluso,2009,6.6,30,6.6,0.0
Dani Alves,2009,7.85,26,7.3709999999999996,-0.47999999999999954
Daniel Agger,2009,7.1,25,6.983999999999999,0.09999999999999964
Daniel Aranzubia,2009,6.87,30,6.853333333333333,-0.22999999999999954
Daniel Braaten,2009,6.7,28,6.6025,0.10999999999999943
Daniel Congré,2009,6.95,25,6.916666666666665,0.10999999999999943
Daniel Fox,2009,6.85,24,6.64,0.41999999999999993
Daniel Kome,2009,6.63,30,6.63,0.0
Daniel Niculae,2009,6.99,27,6.816666666666666,-0.41999999999999993
Daniel Parejo,2009,6.77,20,7.174000000000001,0.6000000000000005
Daniel Schwaab,2009,6.86,21,6.9750000000000005,0.3899999999999997
Daniel Toribio,2009,6.73,21,6.73,0.0
Daniel Van Buyten,2009,7.2,32,7.162000000000001,-0.75
Daniele Capelli,2009,6.79,24,6.609999999999999,0.3600000000000003
Daniele Conti,2009,7.49,31,7.186666666666667,-0.1900000000000004
Daniele De Rossi,2009,7.48,26,7.103,0.3000000000000007
Daniele Dessena,2009,6.67,22,6.581250000000001,-0.07000000000000028
Daniele Ficagna,2009,6.63,29,6.63,0.0
Daniele Galloppa,2009,7.14,25,7.125,0.02999999999999936
Daniele Gastaldello,2009,7.28,26,7.0685714285714285,0.14000000000000057
Daniele Mannini,2009,6.81,26,6.663333333333333,0.08999999999999986
Daniele Portanova,2009,6.88,31,7.002,0.3800000000000008
Danijel Ljuboja,2009,6.84,31,6.615,-0.4500000000000002
Danijel Pranjic,2009,6.77,28,6.8,0.0600000000000005
Danny Collins,2009,6.89,29,6.79,0.1999999999999993
Danny Higginbotham,2009,6.86,31,6.86,0.0
Danny Murphy,2009,7.19,33,7.066666666666666,0.11000000000000032
Dante,2009,6.97,26,6.968461538461539,0.0
Dany Nounkeu,2009,7.18,24,7.335,-0.3100000000000005
Dario Dainelli,2009,6.87,30,6.992222222222223,-0.04999999999999982
Dario Knezevic,2009,7.02,28,7.02,0.0
Dariusz Dudka,2009,6.79,26,6.773333333333333,0.040000000000000036
Darren Bent,2009,7.3,26,6.828,-0.7800000000000002
Darren Fletcher,2009,7.33,25,6.774999999999999,-0.40000000000000036
Dave Kitson,2009,6.73,30,6.73,0.0
David Albelda,2009,7.06,32,6.9575,-0.35999999999999943
David Barral,2009,6.65,27,6.806,0.05999999999999961
David Bentley,2009,7.19,25,7.19,0.0
David Cortés,2009,6.62,30,6.795,0.34999999999999964
David Ducourtioux,2009,6.99,32,6.663333333333334,-0.1299999999999999
David Dunn,2009,7.11,30,6.746666666666666,0.6100000000000003
David Edwards,2009,6.46,24,6.5566666666666675,-0.20999999999999996
David Fuster,2009,6.57,28,6.57,0.0
David García,2009,6.94,15,6.802,-0.23000000000000043
David Hellebuyck,2009,6.81,31,6.81,0.0
David James,2009,6.61,39,6.61,0.0
David Jarolim,2009,7.3,31,7.096666666666667,-0.02999999999999936
David Jones,2009,6.59,25,6.595,0.009999999999999787
David N'Gog,2009,6.69,21,6.53,0.20000000000000018
David Navarro,2009,6.78,30,6.726666666666667,-0.04999999999999982
David Nugent,2009,6.62,25,6.6,0.040000000000000036
David Ospina,2009,6.87,21,6.9125,-0.13999999999999968
David Pizarro,2009,7.58,30,7.214,-0.1900000000000004
David Prieto,2009,6.6,27,6.6,0.0
David Rozehnal,2009,6.68,29,6.8340000000000005,-0.009999999999999787
David Sauget,2009,6.89,30,6.785,0.010000000000000675
David Silva,2009,7.34,23,7.379,0.41999999999999993
David Suazo,2009,6.66,30,6.66,0.0
David Trezeguet,2009,6.86,32,6.735,0.25
David Villa,2009,7.51,28,7.115,-0.6600000000000001
David de Gea,2009,6.75,19,6.694285714285713,0.16000000000000014
Davide Astori,2009,7.35,22,7.228888888888889,-0.15999999999999925
Davide Biondini,2009,6.7,26,6.590000000000001,-0.27000000000000046
Davide Lanzafame,2009,6.92,23,6.92,0.0
Davide Mandelli,2009,6.87,33,6.859999999999999,0.020000000000000462
Davide Moro,2009,6.59,28,6.59,0.0
Dean Marney,2009,6.65,26,6.653333333333333,-0.16999999999999993
Dean Whitehead,2009,6.8,27,6.595,0.1899999999999995
Deco,2009,7.43,32,7.43,0.0
Dede,2009,6.73,32,6.73,0.0
Dejan Stankovic,2009,7.06,31,7.013333333333333,-0.14000000000000057
Delvin N'Dinga,2009,6.69,22,6.656666666666666,0.05999999999999961
Demba Ba,2009,7.08,25,6.965,-0.15999999999999925
Dennis Aogo,2009,6.91,22,6.798888888888889,0.27999999999999936
Dennis Diekmeier,2009,6.86,20,6.7562500000000005,0.20999999999999996
Dennis Oliech,2009,6.74,25,6.713333333333334,-0.1200000000000001
Denílson,2009,7.25,22,7.25,0.0
Derek Boateng,2009,6.93,27,7.0649999999999995,0.27000000000000046
Dickson Etuhu,2009,6.73,28,6.785,-0.10999999999999943
Dida,2009,6.88,36,6.88,0.0
Didier Digard,2009,7.03,23,7.010000000000001,0.02999999999999936
Didier Drogba,2009,8.32,32,7.282500000000001,0.7700000000000005
Didier Ovono,2009,6.85,27,6.85,0.0
Didier Ya Konan,2009,7.01,26,6.925,0.6399999999999997
Didier Zokora,2009,7.03,29,6.78,-0.5
Diego,2009,7.25,25,7.262500000000001,0.5
Diego Alves,2009,7.19,25,6.86625,0.4300000000000006
Diego Benaglio,2009,6.94,26,6.673333333333334,-0.20000000000000018
Diego Camacho,2009,6.71,33,6.71,0.0
Diego Capel,2009,6.6,22,6.56,-0.08000000000000007
Diego Castro,2009,7.11,27,6.833333333333333,-0.45999999999999996
Diego Colotto,2009,7.0,29,6.970000000000001,-0.23000000000000043
Diego Costa,2009,6.93,21,7.032000000000001,0.47000000000000064
Diego De Ascentis,2009,6.63,33,6.63,0.0
Diego Forlán,2009,7.2,31,6.846666666666667,-0.5899999999999999
Diego Godín,2009,7.23,23,7.197272727272729,0.13999999999999968
Diego López,2009,7.03,28,6.788000000000001,0.3700000000000001
Diego Milito,2009,7.47,31,7.0775,0.7599999999999998
Diego Perotti,2009,7.27,21,7.202222222222222,-0.03999999999999915
Diego Pérez,2009,7.05,30,6.964,-0.45999999999999996
Dimitar Berbatov,2009,7.41,29,7.068,-0.6100000000000003
Dimitri Payet,2009,6.98,23,7.314285714285716,-0.07000000000000028
Dinei,2009,6.37,26,6.37,0.0
Diniyar Bilyaletdinov,2009,6.86,25,6.630000000000001,0.45999999999999996
Dirk Kuyt,2009,7.08,29,6.986666666666667,-0.20999999999999996
Djamel Bakar,2009,6.46,21,6.5225,-0.22999999999999954
Djimi Traore,2009,6.82,30,6.82,0.0
Dmytro Chygrynskiy,2009,6.62,23,6.62,0.0
Domenico Criscito,2009,7.29,23,7.096000000000001,-0.17999999999999972
Domingo Cisma,2009,6.91,28,6.833999999999999,-0.16999999999999993
Dominic Maroh,2009,6.85,22,6.996,-0.10000000000000053
Dorin Goian,2009,6.74,29,6.805,-0.1299999999999999
Drissa Diakité,2009,6.91,25,6.598000000000001,-0.2599999999999998
Duda,2009,7.56,30,6.986,-0.6499999999999995
Dudu Aouate,2009,6.96,32,6.79,0.1200000000000001
Dusan Basta,2009,7.08,25,6.947142857142857,0.4200000000000008
Dídac Vilá,2009,7.22,21,7.031666666666666,-0.20000000000000018
Eden Hazard,2009,7.2,18,7.586,-0.4900000000000002
Edgar Alvarez,2009,6.99,30,6.77,0.4400000000000004
Edin Dzeko,2009,7.73,24,7.182307692307694,0.4900000000000002
Edinson Cavani,2009,7.08,22,7.265454545454545,0.03000000000000025
Edmílson,2009,6.71,33,6.71,0.0
Eduardo,2009,6.45,29,6.56,-0.010000000000000675
Eduardo Costa,2009,6.8,27,6.8,0.0
Eduardo da Silva,2009,6.71,27,6.71,0.0
Edwin van der Sar,2009,7.04,39,6.85,0.3799999999999999
El Hadji Diouf,2009,6.72,29,6.744999999999999,-0.04999999999999982
Eliseu,2009,6.89,26,6.828,-0.23999999999999932
Eljero Elia,2009,7.37,23,6.975,0.13000000000000078
Elkin Soto,2009,6.97,29,7.0,-0.2599999999999998
Emanuel Rivas,2009,6.76,27,6.76,0.0
Emanuele Calaiò,2009,6.54,28,6.66,-0.2400000000000002
Emerse Faé,2009,6.88,26,6.9,0.040000000000000036
Emerson Conceição,2009,6.65,24,6.745,0.1899999999999995
Emile Heskey,2009,6.71,32,6.579999999999999,0.1900000000000004
Emiliano Armenteros,2009,6.66,24,7.095,0.25
Emiliano Insúa,2009,7.18,20,6.898000000000001,-0.16000000000000014
Emiliano Moretti,2009,6.93,28,6.832222222222222,0.27000000000000046
Emiliano Viviano,2009,7.01,24,6.847777777777778,0.08000000000000007
