Name,Team,Age,Position,Minutes,Total Goals,Total Assists,Yellow cards,Red cards,Shots per game,Pass success percentage,Aerials won per game,Man of the match,Rating,League,Saison,Born,Start Application,Remplacement Application,Total goals,Key passes per game,Dribbles per game,Fouled per game,Offsides per game,Dispossessed per game,Bad control per game,Dribble,Passes per game,Crosses per game,Long balls per game,Through balls per game,Tackles per game,Interceptions per game,Fouls per game,Clearances per game,Dribbled past per game,Outfield blocks per game,Own goals
Diego Benaglio,Wolfsburg,30,Goalkeeper,2566,0,0,0,0,0.0,66.0,0.5,0,6.7,Bundesliga,2013,1983,29,0,0,0.0,0.1,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Sven Ulreich,VfB Stuttgart,25,Goalkeeper,2790,0,0,3,0,0.0,61.1,0.7,2,6.69,Bundesliga,2013,1988,31,0,0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Sebastian Mielitz,Werder Bremen,24,Goalkeeper,1170,0,0,0,0,0.0,59.2,0.1,0,6.69,Bundesliga,2013,1989,13,0,0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Oliver Baumann,Freiburg,23,Goalkeeper,2970,0,0,0,0,0.0,55.6,0.6,1,6.65,Bundesliga,2013,1990,33,0,0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Daniel Davari,Eintracht Braunschweig,26,Goalkeeper,2610,0,1,0,0,0.0,51.2,0.7,1,6.64,Bundesliga,2013,1987,29,0,0,0.2,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Raphael Wolf,Werder Bremen,26,Goalkeeper,1890,0,0,0,0,0.0,47.8,0.7,0,6.64,Bundesliga,2013,1987,21,0,0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Thomas Kraft,Hertha Berlin,25,Goalkeeper,2880,0,0,0,0,0.0,58.7,0.6,1,6.61,Bundesliga,2013,1988,32,0,0,0.0,0.0,0.2,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Roman Weidenfeller,Borussia Dortmund,33,Goalkeeper,2700,0,0,1,0,0.0,68.1,0.6,0,6.6,Bundesliga,2013,1980,30,0,0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Heinz Müller,Mainz 05,36,Goalkeeper,856,0,0,1,0,0.1,74.1,0.4,0,6.58,Bundesliga,2013,1977,10,0,0,0.2,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Timo Hildebrand,Schalke 04,35,Goalkeeper,1080,0,0,0,0,0.0,55.0,0.2,0,6.51,Bundesliga,2013,1978,12,0,0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Koen Casteels,Hoffenheim,21,Goalkeeper,2053,0,0,0,0,0.0,66.5,0.7,0,6.48,Bundesliga,2013,1992,23,0,0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
René Adler,Hamburger SV,28,Goalkeeper,2700,0,0,0,0,0.0,61.3,0.6,0,6.46,Bundesliga,2013,1985,30,0,0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Alexander Manninger,Augsburg,37,Goalkeeper,1170,0,0,0,0,0.0,65.0,0.3,0,6.22,Bundesliga,2013,1976,13,0,0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Michael Esser,Hannover 96,31,Goalkeeper,2880,0,0,3,0,0.0,67.9,0.4,2,6.98,Bundesliga,2018,1987,32,0,0,0.1,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Péter Gulácsi,RasenBallsport Leipzig,28,Goalkeeper,2926,0,0,0,0,0.0,58.9,0.2,1,6.93,Bundesliga,2018,1990,33,0,0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Yann Sommer,Borussia M.Gladbach,30,Goalkeeper,3060,0,0,1,0,0.0,77.4,0.4,2,6.88,Bundesliga,2018,1988,34,0,0,0.0,0.1,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Robin Zentner,Mainz 05,24,Goalkeeper,900,0,0,1,0,0.0,54.4,0.3,1,6.87,Bundesliga,2018,1994,10,0,0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Kevin Trapp,Eintracht Frankfurt,28,Goalkeeper,2938,0,0,2,0,0.0,63.6,0.5,1,6.84,Bundesliga,2018,1990,33,0,0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Koen Casteels,Wolfsburg,26,Goalkeeper,2296,0,0,0,0,0.0,76.9,0.4,0,6.83,Bundesliga,2018,1992,26,0,0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Andreas Luthe,Augsburg,31,Goalkeeper,1310,0,0,0,0,0.0,64.7,0.0,1,6.77,Bundesliga,2018,1987,14,1,0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Oliver Baumann,Hoffenheim,28,Goalkeeper,2970,0,1,0,0,0.0,76.4,0.3,0,6.73,Bundesliga,2018,1990,33,0,0,0.1,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Rune Jarstein,Hertha Berlin,34,Goalkeeper,2746,0,0,2,0,0.0,57.2,0.5,2,6.72,Bundesliga,2018,1984,31,0,0,0.0,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Michael Rensing,Fortuna Duesseldorf,34,Goalkeeper,2880,0,0,1,0,0.0,59.0,0.5,1,6.71,Bundesliga,2018,1984,32,0,0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Christian Mathenia,Nuernberg,26,Goalkeeper,1934,0,0,2,0,0.0,59.9,0.8,1,6.71,Bundesliga,2018,1992,22,0,0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Ralf Fährmann,Schalke 04,30,Goalkeeper,1469,0,0,0,0,0.0,69.3,0.4,0,6.71,Bundesliga,2018,1988,16,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Jirí Pavlenka,Werder Bremen,27,Goalkeeper,2979,0,0,2,0,0.0,70.1,0.2,0,6.7,Bundesliga,2018,1991,34,0,0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Alexander Schwolow,Freiburg,26,Goalkeeper,2970,0,1,1,0,0.0,62.8,0.2,0,6.66,Bundesliga,2018,1992,33,0,0,0.1,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Roman Bürki,Borussia Dortmund,28,Goalkeeper,2880,0,0,1,0,0.0,65.8,0.3,2,6.62,Bundesliga,2018,1990,32,0,0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Lukás Hrádecky,Bayer Leverkusen,29,Goalkeeper,2880,0,0,1,0,0.0,76.6,0.3,1,6.61,Bundesliga,2018,1989,32,0,0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Alexander Nübel,Schalke 04,22,Goalkeeper,1589,0,0,1,1,0.0,63.7,0.6,1,6.55,Bundesliga,2018,1996,18,0,0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Ron-Robert Zieler,VfB Stuttgart,29,Goalkeeper,3060,0,0,3,0,0.0,56.0,0.3,1,6.52,Bundesliga,2018,1989,34,0,0,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Florian Müller,Mainz 05,21,Goalkeeper,2160,0,0,0,0,0.0,60.8,0.1,1,6.48,Bundesliga,2018,1997,24,0,0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Manuel Neuer,Bayern Munich,32,Goalkeeper,2303,0,0,1,0,0.0,81.6,0.2,0,6.34,Bundesliga,2018,1986,26,0,0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Gregor Kobel,Augsburg,21,Goalkeeper,1390,0,0,0,0,0.0,66.4,0.1,1,6.3,Bundesliga,2018,1997,16,0,0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Fabian Bredlow,Nuernberg,23,Goalkeeper,1127,0,0,1,0,0.0,69.2,0.1,0,6.14,Bundesliga,2018,1995,13,1,0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Keylor Navas,PSG,34,Goalkeeper,2522,0,0,0,0,0.0,85.6,0.1,2,6.9,Ligue1,2020,1986,29,0,0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Mike Maignan,Lille,25,Goalkeeper,3420,0,0,1,0,0.0,67.3,0.3,1,6.82,Ligue1,2020,1995,38,0,0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Anthony Lopes,Lyon,30,Goalkeeper,3420,0,0,2,0,0.0,79.5,0.2,1,6.69,Ligue1,2020,1990,38,0,0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Walter Benítez,Nice,28,Goalkeeper,3420,0,0,3,0,0.0,78.6,0.3,1,6.69,Ligue1,2020,1992,38,0,0,0.0,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Alexandre Oukidja,Metz,32,Goalkeeper,3060,0,0,3,1,0.0,59.4,0.5,2,6.68,Ligue1,2020,1988,34,0,0,0.0,0.0,0.3,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Predrag Rajkovic,Reims,25,Goalkeeper,3286,0,0,2,0,0.0,62.7,0.4,2,6.67,Ligue1,2020,1995,37,0,0,0.0,0.0,0.3,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Jonas Omlin,Montpellier,27,Goalkeeper,2675,0,0,0,1,0.0,66.0,0.3,2,6.66,Ligue1,2020,1993,31,0,0,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Baptiste Reynet,Nimes,30,Goalkeeper,3420,0,0,3,0,0.1,64.6,0.3,1,6.64,Ligue1,2020,1990,38,0,0,0.1,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Alban Lafont,Nantes,21,Goalkeeper,3420,0,0,2,0,0.0,53.6,0.4,0,6.61,Ligue1,2020,1999,38,0,0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Benoît Costil,Bordeaux,33,Goalkeeper,3420,0,0,0,0,0.0,67.3,0.2,0,6.59,Ligue1,2020,1987,38,0,0,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Alfred Gomis,Rennes,27,Goalkeeper,1980,0,0,1,0,0.0,75.0,0.4,0,6.58,Ligue1,2020,1993,22,0,0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Gautier Larsonneur,Brest,24,Goalkeeper,3150,0,0,2,0,0.0,77.1,0.2,0,6.55,Ligue1,2020,1996,35,0,0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Benjamin Lecomte,Monaco,29,Goalkeeper,2520,0,0,1,0,0.0,72.8,0.4,0,6.52,Ligue1,2020,1991,28,0,0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Anthony Racioppi,Dijon,22,Goalkeeper,1890,0,0,0,0,0.0,60.1,0.3,1,6.51,Ligue1,2020,1998,21,0,0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Eiji Kawashima,Strasbourg,37,Goalkeeper,2160,0,0,1,0,0.0,64.3,0.3,0,6.5,Ligue1,2020,1983,24,0,0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Jean-Louis Leca,Lens,35,Goalkeeper,3315,0,0,2,0,0.0,63.0,0.2,1,6.49,Ligue1,2020,1985,37,0,0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Paul Bernardoni,Angers,23,Goalkeeper,3420,0,0,1,0,0.0,56.3,0.3,0,6.44,Ligue1,2020,1997,38,0,0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Jessy Moulin,Saint-Etienne,35,Goalkeeper,2610,0,0,1,0,0.0,67.0,0.4,1,6.43,Ligue1,2020,1985,29,0,0,0.0,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Steve Mandanda,Marseille,35,Goalkeeper,3330,0,0,1,0,0.0,66.0,0.2,0,6.41,Ligue1,2020,1985,37,0,0,0.0,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Paul Nardi,Lorient,26,Goalkeeper,2070,0,0,1,0,0.0,53.2,0.1,0,6.33,Ligue1,2020,1994,23,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Alex Meret,SPAL 2013,20,Goalkeeper,1160,0,0,0,0,0.0,56.4,0.2,3,7.02,SerieA,2017,1997,13,0,0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Alisson,Roma,25,Goalkeeper,3330,0,0,1,0,0.0,78.9,0.2,1,6.99,SerieA,2017,1992,37,0,0,0.0,0.2,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Salvatore Sirigu,Torino,30,Goalkeeper,3330,0,0,2,0,0.0,65.8,0.4,3,6.95,SerieA,2017,1987,37,0,0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Nícolas,Verona,30,Goalkeeper,3240,0,0,2,1,0.0,53.3,0.3,2,6.93,SerieA,2017,1987,36,0,0,0.0,0.0,0.3,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
