name,team,rating,position,pace,acceleration,sprint_speed,shooting,positioning,finishing,long_shot,penalties,shot_power,volleys,passing,crossing,curve,freekick_accuracy,longpass,shortpass,vision,dribbling,agility,balance,ball_control,reactions,composure,defending,heading_accuracy,interceptions,marking,stand_tackle,slide_tackle,physicality,aggression,jumping,stamina,strength
Dele Alli,Tottenham Hotspur,84,CAM,75,73,76,81,86,83,80,74,78,79,78,69,75,58,78,84,84,82,76,62,85,85,86,69,77,72,66,68,63,78,84,67,90,71
Kyle Walker,Manchester City,84,RB,90,86,93,63,66,51,68,63,86,57,75,81,76,71,67,78,69,77,67,72,78,83,75,81,74,81,78,84,83,80,78,83,89,75
Naby Keita,Liverpool,83,CM,68,78,60,73,74,74,73,58,76,71,78,62,64,70,78,88,81,88,89,90,88,82,79,64,42,75,68,62,61,68,78,53,82,58
Jordan Pickford,Everton,83,GK,48,53,44,21,18,19,13,41,31,20,46,17,18,16,55,55,68,31,55,55,40,83,69,18,15,24,16,20,12,56,30,72,45,70
Henrikh Mkhitaryan,Arsenal,83,CAM,82,85,79,77,82,74,73,72,85,81,78,77,83,64,71,80,84,85,87,85,86,79,76,52,53,64,41,53,55,69,69,69,83,62
Gabriel Jesus,Manchester City,83,ST,86,87,85,80,88,84,73,78,78,72,72,66,76,54,66,76,77,87,92,91,85,86,82,39,74,32,53,23,19,73,73,77,84,68
Anthony Martial,Manchester United,83,LW,89,88,89,81,82,82,75,81,84,74,73,76,84,54,60,77,73,86,85,81,86,81,79,42,69,42,38,39,36,72,58,74,75,75
Moussa Dembele,Tottenham Hotspur,83,CM,72,72,72,70,70,66,70,63,81,73,77,65,65,55,80,86,80,87,79,76,89,83,90,78,70,82,75,82,70,82,79,75,70,89
David Luiz,Chelsea,83,CB,61,59,62,65,54,55,73,75,79,63,73,68,70,76,77,77,69,70,69,56,79,75,77,82,81,85,79,83,82,77,85,78,66,79
Cesc Fabregas,Chelsea,83,CM,55,56,54,73,72,72,70,78,77,81,88,85,78,81,89,90,91,79,62,75,85,81,92,60,74,50,64,59,58,57,45,63,56,61
 Kepa,Chelsea,83,GK,33,34,33,16,15,11,14,24,25,18,35,25,25,19,36,32,55,20,41,39,16,79,63,19,17,21,19,18,16,42,18,71,37,51
Mateo Kovacic,Chelsea,83,CM,79,84,74,69,69,62,75,59,79,76,82,73,78,68,82,87,88,87,81,85,89,70,72,69,42,78,69,75,63,72,77,63,82,65
Juan Mata,Manchester United,83,RM,65,69,62,76,83,78,72,81,75,71,84,83,84,86,79,85,85,85,84,89,88,85,87,37,56,39,42,31,21,50,50,70,71,37
Aymeric Laporte,Manchester City,83,CB,64,62,66,50,54,45,47,44,68,40,68,58,61,69,78,76,57,62,45,55,72,83,74,85,85,85,85,86,86,76,75,75,67,81
Aaron Ramsey,Arsenal,82,CM,67,64,69,76,84,74,74,75,81,79,79,75,70,66,80,84,79,80,73,74,82,81,81,67,58,69,66,70,67,74,73,66,89,67
Marko Arnautovic,West Ham United,82,ST,81,79,83,79,83,78,75,77,84,79,77,80,79,72,74,78,77,81,70,66,84,78,80,47,74,44,43,48,39,82,84,67,78,84
Eric Bailly,Manchester United,82,CB,74,68,79,42,47,33,48,46,55,42,58,51,46,43,56,70,54,64,65,62,67,75,72,82,80,84,81,82,83,82,87,85,72,85
Fred,Manchester United,82,CM,78,77,79,74,69,74,76,65,76,70,77,67,70,72,80,85,76,82,84,87,86,82,82,75,55,80,76,78,69,71,73,83,87,61
Gylfi Sigurdhsson,Everton,82,CAM,56,58,55,80,79,77,86,82,83,75,84,86,87,86,80,84,84,79,68,63,85,77,83,57,60,55,57,57,55,70,57,68,86,68
Felipe Anderson,West Ham United,82,LM,91,93,89,75,71,71,84,53,84,68,78,79,71,69,74,80,79,88,89,88,88,74,82,56,44,69,47,60,58,60,67,38,72,53
Petr Cech,Arsenal,82,GK,37,35,38,14,13,12,11,23,21,17,33,19,13,19,33,35,53,23,46,34,22,77,63,15,19,23,12,13,12,45,17,50,32,63
 Ander Herrera,Manchester United,82,CM,71,75,68,72,78,71,69,79,75,65,79,74,80,65,80,83,81,80,79,78,84,83,84,78,58,86,78,81,77,76,86,61,87,67
Andrew Robertson,Liverpool,82,LB,84,81,86,59,66,57,60,55,67,32,73,86,74,30,68,76,69,77,78,74,78,81,73,78,63,80,80,81,78,74,78,59,89,66
Harry Maguire,Leicester City,82,CB,47,39,53,49,60,43,45,44,68,41,63,44,38,46,72,77,60,70,52,58,76,79,76,82,87,78,81,84,81,82,84,74,68,89
Lucas,Tottenham Hotspur,82,RM,92,94,90,75,78,75,74,74,79,70,75,75,69,74,74,77,74,86,94,90,81,76,79,42,50,50,31,43,51,67,72,77,75,59
Georginio Wijnaldum,Liverpool,82,CM,76,77,76,72,79,70,71,74,76,73,77,67,76,70,76,84,78,83,80,81,84,82,82,74,72,76,74,75,65,74,64,80,85,72
Shkodran Mustafi,Arsenal,82,CB,62,58,65,57,50,58,52,54,66,51,64,53,55,47,69,77,55,61,63,67,70,82,73,81,81,82,80,82,82,77,82,83,68,78
Idrissa Gueye,Everton,82,CDM,74,76,72,59,67,50,66,54,80,32,69,60,33,61,72,80,67,77,78,80,79,80,80,85,69,87,84,89,84,78,84,87,87,70
Jesse Lingard,Manchester United,82,CAM,83,84,82,78,86,78,80,65,80,70,76,74,80,63,66,78,82,83,86,86,83,83,84,56,64,53,65,50,44,66,73,63,87,53
Wilfried Zaha,Crystal Palace,82,CF,91,89,92,74,78,77,68,66,78,61,73,81,57,51,65,75,77,88,88,82,87,77,81,27,47,23,22,29,28,74,73,57,76,75
Jordan Henderson,Liverpool,82,CDM,66,67,66,70,75,67,71,64,77,72,83,81,80,74,84,84,83,75,70,70,80,80,78,77,65,80,77,79,76,78,77,79,91,72
John Stones,Manchester City,82,CB,69,67,71,36,48,29,38,44,46,27,69,62,47,29,73,81,67,71,61,59,79,78,80,83,82,79,84,84,82,78,79,71,79,77
Morata,Chelsea,82,ST,82,76,86,78,85,80,72,70,80,80,71,73,76,44,51,78,76,80,66,60,82,79,78,31,86,24,37,14,20,71,56,84,68,78
Pedro,Chelsea,82,RW,76,79,74,77,82,78,79,66,77,70,77,78,81,57,71,80,77,84,82,80,85,81,77,43,55,49,49,32,31,56,56,66,70,47
Laurent Koscielny,Arsenal,82,CB,65,64,66,41,41,32,47,51,54,35,62,52,22,49,69,76,56,64,65,61,66,76,75,82,80,84,80,84,83,74,86,78,62,75
Kieran Trippier,Tottenham Hotspur,82,RB,75,76,75,60,75,48,70,66,75,54,82,91,87,83,78,79,80,77,74,74,80,81,73,79,73,79,77,82,79,72,70,73,88,65
Jamie Vardy,Leicester City,82,ST,90,89,91,81,85,85,67,78,85,82,63,64,60,57,48,65,72,77,75,76,76,88,82,54,68,49,55,52,51,77,92,74,86,67
Olivier Giroud,Chelsea,82,ST,47,43,50,82,83,83,74,83,85,82,71,64,70,65,58,79,76,73,57,54,83,83,78,42,90,42,37,37,20,79,76,84,62,88
Marcos Alonso,Chelsea,82,LB,73,69,76,73,77,68,77,64,84,55,79,85,85,86,73,83,69,78,64,58,82,83,76,80,82,79,79,82,79,79,75,71,90,76
Benjamin Mendy,Manchester City,81,LB,82,77,86,52,77,33,65,50,79,31,77,87,80,34,69,80,76,78,68,70,79,80,74,78,65,79,78,79,81,79,75,71,81,81
Ricardo Pereira,Leicester City,81,RB,87,88,87,63,78,61,62,60,67,56,77,81,78,45,78,80,75,81,82,77,79,81,81,77,64,79,76,80,75,70,75,74,84,60
Chris Smalling,Manchester United,81,CB,68,61,74,47,48,54,35,52,42,49,55,52,49,22,63,63,49,58,55,45,58,75,67,81,82,81,81,82,80,82,83,76,71,87
Lucas Torreira,Arsenal,81,CDM,77,81,74,62,65,50,74,48,78,65,77,74,66,76,77,83,73,80,83,93,81,77,77,76,40,83,80,81,73,74,84,52,85,66
Antonio Valencia,Manchester United,81,RB,84,82,85,67,73,60,66,55,85,64,76,79,70,66,72,81,71,80,72,78,81,82,82,78,62,82,77,82,79,79,80,69,79,79
James Milner,Liverpool,81,CM,62,63,62,70,72,62,70,83,82,76,82,86,81,75,81,84,79,76,69,73,79,84,86,77,66,79,74,80,79,78,82,62,91,71
Marcus Rashford,Manchester United,81,LW,92,90,93,80,81,79,77,74,87,72,74,75,77,78,65,75,74,82,88,77,80,79,75,40,71,42,32,40,33,73,70,65,79,71
Manuel Lanzini,West Ham United,81,CAM,81,84,78,72,73,70,76,73,75,61,78,74,76,76,78,80,79,86,86,89,86,73,77,32,56,27,27,36,25,52,48,75,75,39
Abdoulaye Doucoure,Watford,81,CDM,67,63,70,74,73,73,75,54,84,68,73,68,41,42,74,82,76,76,60,69,80,74,74,79,66,82,79,83,75,83,78,72,93,81
Granit Xhaka,Arsenal,81,CM,48,47,49,65,77,49,80,63,88,50,80,71,73,77,85,85,81,71,49,61,80,77,74,69,62,71,68,72,68,76,92,32,77,74
 Andreas Christensen,Chelsea,81,CB,68,66,70,31,32,36,20,36,31,25,63,49,32,22,72,77,62,69,61,61,74,80,77,83,80,82,80,86,84,72,73,72,69,73
Dejan Lovren,Liverpool,81,CB,55,54,55,40,21,33,34,52,63,42,59,59,26,18,66,69,56,62,50,41,67,75,70,81,80,81,77,83,85,79,87,81,68,82
Adam Lallana,Liverpool,81,CM,69,70,69,73,75,74,72,70,72,72,80,74,77,66,77,85,83,83,78,75,85,74,80,64,67,66,61,65,62,70,76,70,77,64
Antonio Rudiger,Chelsea,81,CB,73,67,78,40,33,27,41,40,70,34,67,68,35,56,72,75,57,63,59,50,69,81,72,81,78,79,80,84,81,77,90,71,60,80
Xherdan Shaqiri,Liverpool,81,RW,80,84,77,77,74,71,84,65,87,76,80,78,88,84,78,80,80,85,84,91,84,80,82,46,45,55,35,49,48,70,61,52,75,73
Danny Rose,Tottenham Hotspur,81,LB,78,79,78,62,68,57,67,57,68,64,74,82,64,57,66,76,73,78,69,76,77,82,75,79,62,81,77,83,84,77,87,75,78,72
Lukasz Fabianski,West Ham United,81,GK,48,50,47,15,15,13,20,22,14,17,27,14,18,12,32,20,52,25,52,44,22,71,63,13,11,16,14,12,13,51,43,68,25,65
Erik Lamela,Tottenham Hotspur,81,RM,75,76,74,77,79,74,82,75,81,77,80,78,83,80,73,83,83,83,75,74,84,78,75,50,69,45,48,51,42,73,84,63,78,68
Joel Matip,Liverpool,81,CB,63,55,69,46,51,36,48,42,66,50,68,54,63,22,74,77,72,65,55,47,69,81,75,82,82,84,81,84,78,77,75,66,73,80
Ben Davies,Tottenham Hotspur,81,LB,75,76,74,58,71,58,52,54,65,48,76,83,72,48,70,79,75,76,70,68,79,78,74,79,69,79,78,83,82,75,76,73,85,69
James Tarkowski,Burnley,80,CB,59,55,63,43,43,36,38,52,63,40,67,59,54,57,72,73,66,66,58,57,70,75,78,80,80,79,79,82,80,78,79,82,69,81
Daniel Sturridge,Liverpool,80,ST,75,72,78,81,81,83,79,75,82,73,68,62,62,68,62,72,74,78,74,64,80,78,81,23,70,22,11,24,12,62,60,70,55,66
Jannik Vestergaard,Southampton,80,CB,38,35,40,49,46,34,47,75,83,28,62,46,41,52,80,68,60,47,29,28,54,80,77,82,87,85,77,84,78,79,84,33,54,94
Sead Kolasinac,Arsenal,80,LB,72,68,75,62,66,59,58,44,82,48,65,77,43,25,53,76,60,70,49,55,74,79,72,77,74,73,74,81,81,87,93,76,79,90
Victor Wanyama,Tottenham Hotspur,80,CDM,58,54,61,65,63,61,60,65,79,60,69,62,62,57,70,77,64,73,68,65,75,81,76,80,71,83,78,85,77,87,89,79,78,92
Andriy Yarmolenko,West Ham United,80,RM,73,69,76,80,79,77,83,85,83,74,78,80,83,75,74,78,78,83,73,67,83,82,74,42,69,54,37,35,30,71,76,61,60,76
Seamus Coleman,Everton,80,RB,76,77,75,65,75,61,66,55,75,64,73,82,42,53,70,78,70,78,73,74,78,80,81,80,69,80,78,84,82,73,78,71,77,69
Jack Butland,Stoke City,80,GK,56,58,55,19,16,16,13,42,29,12,30,11,12,14,30,40,40,33,55,50,36,73,62,19,12,27,23,13,11,61,40,76,40,79
Andre Gomes,Everton,80,CM,65,68,62,69,74,65,71,55,80,63,77,61,82,67,81,82,81,77,67,64,78,77,78,73,69,74,75,75,64,81,81,58,76,86
Tom Heaton,Burnley,80,GK,55,56,55,13,12,12,12,24,14,12,31,17,15,13,37,32,46,29,54,52,28,73,62,17,16,24,16,15,13,53,31,73,40,66
Wilfred Ndidi,Leicester City,80,CDM,73,73,73,63,67,50,74,55,82,66,66,50,58,58,70,74,67,74,67,67,75,79,74,83,76,84,84,84,83,82,85,90,92,75
Fabian Delph,Manchester City,80,LB,73,75,72,70,72,64,75,65,82,59,76,74,72,53,76,82,73,80,87,86,82,81,76,77,60,80,77,81,79,74,84,67,87,65
Sergio Romero,Manchester United,80,GK,45,47,44,14,11,14,11,16,14,17,35,11,12,13,48,39,55,29,52,44,40,78,62,14,12,21,14,11,15,56,33,63,35,75
Nacho Monreal,Arsenal,80,LB,69,72,67,61,66,55,61,61,74,58,71,76,74,52,61,77,66,74,70,73,77,82,76,80,72,81,80,83,81,70,77,74,74,65
Bernard,Everton,80,LM,90,94,86,70,72,71,65,57,76,68,75,77,73,69,68,76,77,84,94,96,84,80,71,38,59,42,31,39,25,45,41,61,68,34
Fabian Balbuena,West Ham United,80,CB,61,56,65,40,27,31,34,48,71,24,52,33,30,34,56,71,45,50,42,42,56,77,74,81,82,80,82,82,76,81,82,73,76,84
Gary Cahill,Chelsea,80,CB,45,42,48,58,45,56,64,53,63,47,53,28,48,27,60,66,56,58,51,47,61,80,74,82,85,79,83,82,81,76,85,80,61,79
Eric Dier,Tottenham Hotspur,80,CDM,65,62,68,63,53,52,72,70,82,51,72,67,60,74,78,77,67,65,52,38,70,78,77,82,82,81,82,81,83,86,91,77,78,89
Jack Wilshere,West Ham United,80,CM,67,69,65,68,77,63,72,65,75,64,80,73,77,71,80,84,81,81,76,83,82,77,80,63,58,61,64,64,65,69,84,66,70,62
Alex Oxlade-Chamberlain,Liverpool,80,CM,85,84,85,73,79,69,76,69,80,58,78,78,73,60,75,80,81,84,81,88,84,78,77,66,39,72,67,70,66,75,77,69,82,72
Deulofeu,Watford,80,RM,88,89,88,70,77,69,66,77,72,68,75,75,84,77,62,78,76,87,94,77,86,74,76,30,40,25,34,30,22,56,40,70,70,54
Hector Bellerin,Arsenal,80,RB,92,94,91,51,67,52,43,62,52,41,69,76,63,50,59,76,65,77,82,77,78,78,70,75,60,77,75,78,80,67,72,63,83,58
Iborra,Leicester City,80,CDM,37,39,35,71,77,69,65,73,81,66,75,53,66,70,81,83,80,70,51,31,81,75,76,79,79,80,79,80,74,78,78,64,68,85
Steven Defour,Burnley,80,CM,64,67,62,71,73,67,74,71,76,70,79,77,78,77,78,81,80,78,71,79,80,80,82,76,62,82,79,76,71,73,81,70,77,68
Ben Mee,Burnley,80,CB,63,62,63,38,38,30,39,36,60,29,60,63,45,31,61,64,60,65,63,70,67,76,74,80,79,80,80,81,80,80,82,93,70,82
Guaita,Crystal Palace,80,GK,52,51,52,20,13,11,15,29,45,13,39,35,32,20,33,39,52,28,63,48,24,72,62,21,20,27,23,15,17,49,24,68,41,62
 Nick Pope,Burnley,80,GK,48,50,47,15,13,14,15,22,17,14,29,11,13,12,35,32,43,24,36,45,24,71,62,15,11,21,14,15,14,57,36,72,37,73
Serge Aurier,Tottenham Hotspur,80,RB,78,79,78,59,72,54,58,64,71,47,74,83,69,30,72,78,71,77,73,76,79,81,75,78,75,79,75,81,82,78,86,94,77,74
Johann Berg Gudhmundsson,Burnley,79,RM,78,79,77,74,74,70,74,70,84,72,79,82,79,77,75,78,79,79,76,76,79,77,79,58,64,58,58,59,49,72,66,78,78,70
Ross Barkley,Chelsea,79,CAM,70,69,70,73,71,68,80,65,81,61,76,65,68,70,78,82,79,81,66,58,84,74,80,54,65,45,54,58,51,74,74,62,69,77
Joe Hart,Burnley,79,GK,58,56,60,21,14,14,19,30,40,19,30,14,17,13,35,34,42,28,50,32,20,72,58,16,10,25,16,14,13,48,36,69,28,61
Lucas Digne,Everton,79,LB,75,76,75,61,69,52,69,60,77,45,76,81,68,67,69,81,72,77,68,79,82,77,71,75,68,80,71,77,81,73,75,73,79,69
Marcos Rojo,Manchester United,79,CB,69,68,69,60,57,50,63,64,80,48,69,74,67,57,73,72,57,66,68,63,67,74,73,78,79,77,76,81,79,78,92,82,68,77
Danilo,Manchester City,79,RB,75,73,76,70,75,61,74,67,85,72,73,74,76,76,69,77,64,74,70,65,79,79,69,77,69,81,78,77,78,77,75,74,82,76
Cenk Tosun,Everton,79,ST,74,72,75,79,81,79,75,82,83,74,66,64,72,73,60,72,61,76,73,66,78,80,77,36,82,31,33,34,15,74,75,80,73,74
Roberto Pereyra,Watford,79,LM,76,75,76,71,76,71,74,72,68,73,79,78,78,72,75,82,80,81,75,73,83,74,78,61,60,70,50,64,70,67,66,65,75,63
Ashley Young,Manchester United,79,LB,74,77,72,68,67,64,69,60,75,71,79,87,86,75,70,79,76,78,77,76,79,80,74,74,57,77,75,76,74,69,74,55,75,66
Marouane Fellaini,Manchester United,79,CM,45,41,48,72,84,73,65,64,75,68,71,61,64,46,66,81,73,72,44,49,82,81,76,76,93,74,77,77,60,86,94,64,75,91
Davide Zappacosta,Chelsea,79,RB,77,74,79,66,71,59,72,59,75,69,72,81,74,59,68,74,64,75,72,73,74,76,73,76,69,76,76,78,79,74,75,67,87,68
Luka Milivojevic,Crystal Palace,79,CDM,56,53,59,65,66,54,72,87,79,50,74,66,71,78,75,79,73,66,58,58,74,77,73,77,75,79,78,76,72,83,88,62,86,82
Asmir Begovic,Bournemouth,79,GK,55,52,58,20,11,19,12,40,28,12,25,14,17,15,32,26,34,26,52,40,24,74,61,15,12,21,18,11,12,59,42,38,36,80
Morgan Schneiderlin,Everton,79,CDM,58,58,58,60,63,58,56,56,71,56,72,65,68,63,75,78,69,74,69,69,80,76,79,77,69,81,77,78,77,77,81,68,79,75
Mamadou Sakho,Crystal Palace,79,CB,52,49,55,33,36,23,38,40,51,20,64,58,50,30,69,77,53,55,50,54,63,70,75,78,74,81,74,82,78,84,87,75,70,91
Phil Jones,Manchester United,79,CB,57,54,59,53,42,44,59,55,68,49,62,60,38,35,67,73,54,61,52,59,64,77,68,79,78,80,76,81,82,77,86,82,64,79
Adrien Silva,Leicester City,79,CM,60,64,57,74,73,67,80,85,83,75,79,78,79,75,80,81,78,78,70,68,80,76,81,71,61,80,60,78,73,65,79,53,69,59
Nathaniel Clyne,Liverpool,79,RB,78,77,78,61,72,54,69,46,74,45,70,78,64,39,66,75,64,77,79,75,78,75,75,79,68,79,78,81,82,71,76,69,76,67
Simon Mignolet,Liverpool,79,GK,51,50,52,21,14,11,16,41,45,16,30,11,16,12,34,37,43,25,34,52,26,74,61,14,16,21,7,14,16,54,34,69,31,72
Mohamed Elyounoussi,Southampton,79,LM,82,87,78,72,71,72,70,64,76,74,76,75,73,64,75,82,73,80,84,82,78,72,72,39,64,36,40,31,44,67,49,81,88,62
Marco van Ginkel,Chelsea,79,CM,66,62,69,77,78,76,76,84,79,74,77,71,66,69,79,83,77,75,71,59,80,77,84,70,74,63,71,73,69,73,69,74,79,72
Ryan Bertrand,Southampton,79,LB,77,78,76,53,63,50,54,52,59,43,71,82,74,66,70,76,51,76,73,69,78,76,76,77,68,77,76,81,80,73,73,70,78,70
Stephan Lichtsteiner,Arsenal,79,RB,67,65,69,58,66,45,68,64,74,62,72,78,68,66,70,77,62,76,73,77,76,79,80,79,70,82,78,80,80,74,82,73,76,70
Victor Lindelof,Manchester United,79,CB,73,68,77,48,44,36,57,55,68,34,71,64,64,66,73,79,67,69,66,63,75,75,75,78,76,79,77,80,77,77,78,75,75,77
Claudio Bravo,Manchester City,79,GK,56,58,54,16,16,13,17,23,22,11,47,12,25,38,54,56,69,36,63,62,41,73,64,18,18,23,15,18,19,57,40,81,41,69
Danny Drinkwater,Chelsea,79,CM,63,63,63,67,74,60,73,53,77,69,76,64,72,69,83,80,79,76,67,76,79,78,78,72,61,75,69,77,75,71,74,54,77,69
