name,team,rating,position,pace,acceleration,sprint_speed,shooting,positioning,finishing,long_shot,penalties,shot_power,volleys,passing,crossing,curve,freekick_accuracy,longpass,shortpass,vision,dribbling,agility,balance,ball_control,reactions,composure,defending,heading_accuracy,interceptions,marking,stand_tackle,slide_tackle,physicality,aggression,jumping,stamina,strength
Harry Kane,Tottenham Hotspur,82,ST,73,69,77,80.16666667,84,85,78,82,82,70,70.16666667,69,71,71,63,75,72,77,74,62,81,84,0,46.2,81,35,41,36,38,76.75,74,67,84,82
Toby Alderweireld,Tottenham Hotspur,82,CB,66,63,69,58.5,56,45,66,60,86,38,69,64,63,69,81,77,60,61,60,49,69,84,0,84,81,84,85,87,83,78.75,79,80,75,81
Oscar,Chelsea,82,CAM,77.5,78,77,73.33333333,81,75,77,68,76,63,78.33333333,70,77,77,80,83,83,82,86,80,84,81,0,44.4,54,34,37,50,47,52.25,31,66,76,36
Leighton Baines,Everton,82,LB,75.5,76,75,76.16666667,75,70,75,90,84,63,80.83333333,91,81,82,74,81,76,77,75,85,76,80,0,79.8,74,80,81,82,82,75.25,74,72,86,69
Gary Cahill,Chelsea,82,CB,69.5,69,70,55,45,56,66,53,63,47,47.5,28,48,27,61,65,56,58,67,51,64,84,0,85,86,85,83,85,86,76.75,78,82,68,79
Samir Nasri,Manchester City,82,LM,79.5,81,78,76.5,81,76,77,77,75,73,80.33333333,80,78,79,75,85,85,85,82,92,87,78,0,39,42,37,35,37,44,53.5,33,50,69,62
Falcao,Chelsea,82,ST,71.5,75,68,82,85,83,76,84,79,85,66.16666667,55,83,71,53,67,68,74,85,75,81,85,0,41.8,91,41,16,42,19,75.75,70,92,68,73
Romelu Lukaku,Everton,82,ST,82.5,80,85,80.16666667,84,84,76,80,86,71,65.33333333,68,64,66,58,67,69,76,64,48,76,73,0,38.8,80,27,27,30,30,78.75,72,71,80,92
Pablo Zabaleta,Manchester City,82,RB,72.5,72,73,60,71,49,57,64,66,53,68.5,75,68,66,64,72,66,73,71,66,76,86,0,83.4,76,86,86,85,84,84,88,84,85,79
Asmir Begovic,Chelsea,82,GK,55,52,58,19.16666667,11,12,12,40,28,12,22.5,14,17,15,32,26,31,16,53,41,24,79,0,13.8,12,21,13,11,12,49,42,38,36,80
Jan Vertonghen,Tottenham Hotspur,82,CB,70.5,69,72,66.5,65,60,68,68,86,52,68.33333333,68,58,73,74,75,62,66,68,55,74,80,0,82.4,82,83,81,85,81,80.75,83,80,79,81
Morgan Schneiderlin,Manchester United,82,CDM,64,69,59,61.66666667,67,64,56,56,71,56,71.66666667,65,68,61,81,82,73,73,66,66,79,82,0,78.8,65,86,77,84,82,81.25,85,72,90,78
Olivier Giroud,Arsenal,82,ST,63.5,63,64,81.66666667,84,84,76,81,84,81,67.5,63,70,65,56,76,75,69,65,52,82,83,0,42,86,41,26,37,20,81.25,76,82,79,88
Azpilicueta,Chelsea,82,LB,79,79,79,59.66666667,64,46,60,66,68,54,70.66666667,78,66,58,74,80,68,70,75,73,77,87,0,81.8,69,81,86,87,86,77,76,74,86,72
Aaron Ramsey,Arsenal,82,CM,69,69,69,78,83,75,75,75,81,79,76.5,75,70,70,80,83,81,81,77,75,82,82,0,66.2,58,69,62,74,68,75,74,65,92,69
Roberto Firmino,Liverpool,82,CF,76.5,78,75,78.5,81,82,79,72,79,78,75.66666667,70,78,67,74,82,83,87,82,78,83,80,0,42.2,71,33,24,52,31,73.75,64,81,79,71
Theo Walcott,Arsenal,81,LM,95.5,95,96,75.16666667,79,82,69,74,75,72,74.16666667,78,77,74,65,77,74,80,82,79,78,79,0,39.6,55,35,33,39,36,67,65,66,75,62
Martin Skrtel,Liverpool,81,CB,61,54,68,40.66666667,33,35,35,52,46,43,42.33333333,39,33,27,62,65,28,46,62,52,59,73,0,82.2,86,78,79,85,83,79.75,84,75,75,85
Jose Fonte,Southampton,81,CB,54.5,55,54,35.83333333,40,40,29,43,29,34,45.5,36,33,32,54,63,55,59,62,56,64,84,0,83,77,85,84,85,84,77.25,84,73,69,83
Seamus Coleman,Everton,81,RB,79.5,79,80,68,76,65,68,60,75,64,62.5,81,42,35,70,77,70,78,77,74,77,81,0,79,67,77,83,84,84,78.25,78,72,90,73
Mamadou Sakho,Liverpool,81,CB,66,64,68,34,32,23,38,40,51,20,55,60,50,30,66,75,49,50,61,55,61,72,0,79.8,71,82,79,84,83,82.25,85,82,72,90
Matteo Darmian,Manchester United,81,RB,79.5,79,80,55.16666667,64,38,56,45,69,59,64.5,78,69,35,68,74,63,76,79,77,76,78,0,80.2,71,80,80,85,85,77.75,82,70,91,68
Jack Wilshere,Arsenal,81,CM,76.5,79,74,70.16666667,80,64,73,65,75,64,79.5,73,80,72,83,84,85,84,83,87,84,80,0,61.6,58,61,61,63,65,74.5,83,67,82,66
Ander Herrera,Manchester United,81,CM,75,78,72,73.5,80,71,74,79,70,67,78,74,76,65,80,88,85,83,84,81,87,81,0,63.2,58,70,60,64,64,71.25,82,63,78,62
Ashley Williams,Swansea City,81,CB,70,68,72,41.33333333,28,37,40,45,64,34,47.66666667,32,34,23,74,70,53,57,58,59,69,79,0,81,82,83,76,85,79,82,83,86,73,86
Riyad Mahrez,Leicester City,81,RM,82.5,86,79,74.83333333,80,79,74,71,74,71,75.83333333,78,78,66,74,77,82,88,92,80,87,72,0,31,45,38,24,27,21,57.75,39,59,76,57
Victor Valdes,Manchester United,81,GK,57.5,60,55,16.5,12,12,10,26,29,10,22.33333333,10,11,12,36,27,38,12,58,53,27,75,0,12.8,11,21,10,12,10,55.25,36,80,34,71
Raheem Sterling,Manchester City,81,LM,93,94,92,69,81,73,70,63,68,59,67.33333333,71,64,49,67,77,76,86,90,91,84,79,0,44.8,38,26,48,58,54,58.25,34,60,75,64
Phil Jagielka,Everton,81,CB,67,66,68,52.66666667,51,30,54,68,69,44,52.83333333,55,55,31,66,71,39,49,51,64,62,74,0,82.8,79,85,82,85,83,82.5,79,90,78,83
Bacary Sagna,Manchester City,80,RB,75,75,75,58.66666667,66,40,62,59,69,56,62.5,74,66,47,64,65,59,74,68,76,75,80,0,81.6,79,79,83,83,84,79.75,75,84,81,79
Deulofeu,Everton,80,RM,90.5,89,92,67.66666667,78,74,65,70,64,55,73.33333333,79,84,75,60,73,69,89,93,77,86,77,0,26.8,40,22,20,30,22,61.75,40,72,76,59
Jesus Navas,Manchester City,80,RM,89.5,91,88,70.66666667,74,66,74,56,75,79,72,79,80,46,74,77,76,83,91,87,81,77,0,30.6,47,33,27,20,26,56.25,50,62,79,34
Yohan Cabaye,Crystal Palace,80,CDM,67,66,68,76.83333333,71,71,80,84,82,73,81,77,80,81,82,84,82,75,74,77,83,78,0,73.8,70,80,71,75,73,74.25,77,70,80,70
Erik Lamela,Tottenham Hotspur,80,RM,80.5,84,77,78.5,79,75,82,75,80,80,78.33333333,75,83,79,73,81,79,87,78,71,84,77,0,46.4,71,43,37,42,39,65.75,67,64,75,57
Bojan,Stoke City,80,CAM,77.5,80,75,74.16666667,76,71,74,68,77,79,76.83333333,68,83,66,77,81,86,83,83,84,83,79,0,26.4,42,29,20,22,19,47.5,30,48,67,45
Alexandre Pato,Chelsea,80,ST,86,87,85,77.83333333,80,81,76,77,78,75,67.83333333,68,82,63,53,75,66,83,81,69,82,81,0,32,73,29,16,23,19,69,63,81,60,72
Loic Remy,Chelsea,80,ST,89,89,89,78,81,83,77,78,78,71,64,61,66,51,60,75,71,73,77,65,76,77,0,39.4,81,48,23,24,21,74.25,57,90,75,75
Wilfried Bony,Manchester City,80,ST,72,69,75,80.66666667,83,83,80,77,85,76,57.83333333,45,66,58,45,68,65,74,67,72,76,81,0,43.4,84,38,25,42,28,82,70,86,78,94
Nathaniel Clyne,Liverpool,80,RB,86,86,86,58.66666667,64,54,69,46,74,45,65,80,64,39,67,76,64,78,84,76,76,75,0,78.2,66,76,80,83,86,76.75,76,73,87,71
Ross Barkley,Everton,80,CAM,78.5,79,78,70.66666667,71,70,79,65,78,61,70,65,56,56,78,84,81,85,70,59,84,77,0,55.6,65,45,56,60,52,71.75,73,63,74,77
Michael Carrick,Manchester United,80,CDM,52.5,53,52,66.33333333,59,59,71,64,78,67,75.16666667,72,64,59,85,86,85,71,58,63,80,80,0,76.4,73,86,74,77,72,68.5,67,72,69,66
Fernandinho,Manchester City,80,CM,77,77,77,73.16666667,68,70,81,61,83,76,74.5,68,70,71,81,82,75,78,79,79,76,82,0,74,55,84,72,81,78,77.5,83,72,82,73
Michel Vorm,Tottenham Hotspur,80,GK,58,57,59,19.83333333,10,14,19,41,23,12,24.16666667,13,12,14,35,39,32,18,67,53,35,82,0,17,17,28,15,11,14,52,23,79,43,63
James Milner,Liverpool,80,CM,71,72,70,78.83333333,77,68,81,81,87,79,81.83333333,86,81,79,82,85,78,77,71,73,78,84,0,69.2,69,72,67,68,70,74.25,71,64,91,71
Moussa Dembele,Tottenham Hotspur,80,CM,77.5,78,77,73,71,66,72,67,85,77,70.66666667,65,65,55,79,84,76,85,83,59,84,78,0,70,68,75,65,77,65,80.25,74,77,82,88
Ryan Shawcross,Stoke City,80,CB,59,54,64,39.83333333,31,53,28,48,44,35,45.5,33,34,24,69,63,50,42,62,57,54,73,0,82.2,84,82,82,83,80,81,85,72,79,88
Kevin Mirallas,Everton,80,LM,88,89,87,77,80,78,76,75,77,76,76.16666667,82,77,74,77,80,67,84,86,74,82,76,0,49.4,64,35,40,55,53,64.5,48,73,76,61
Monreal,Arsenal,80,LB,77,79,75,58.16666667,61,39,61,61,71,56,69.66666667,81,74,59,61,77,66,74,75,70,77,79,0,79.6,67,82,83,84,82,75,74,75,85,66
Branislav Ivanovic,Chelsea,80,RB,64.5,63,66,59.83333333,61,57,62,58,73,48,61.83333333,72,70,48,56,68,57,58,57,47,66,85,0,86.2,87,85,87,87,85,84,90,83,78,85
Adam Lallana,Liverpool,80,CAM,73,76,70,71.83333333,76,73,72,70,68,72,76.16666667,74,77,66,74,83,83,85,83,76,82,75,0,49.6,67,61,30,52,38,67.25,46,73,83,67
Georginio Wijnaldum,Newcastle United,80,LM,82,79,85,74.5,78,76,69,74,77,73,72.5,67,76,71,66,79,76,86,82,80,84,82,0,57.2,72,65,52,55,42,73.25,61,82,86,64
James McCarthy, Everton,80,CDM,72,75,69,65.83333333,69,65,73,60,67,61,72.66666667,68,64,64,83,82,75,78,66,71,77,75,0,76,63,79,81,79,78,78.5,79,66,91,78
Winston Reid,West Ham United,80,CB,73.5,71,76,50.16666667,42,46,53,55,75,30,45,28,33,38,63,64,44,43,57,43,57,77,0,82.2,83,80,81,85,82,79.5,84,74,76,84
Xherdan Shaqiri,Stoke City,80,RM,86.5,89,84,75.66666667,77,74,78,65,84,76,78,74,82,78,75,80,79,84,87,94,83,79,0,51.6,37,65,51,52,53,69.5,64,63,78,73
Phil Jones,Manchester United,80,CB,65.5,63,68,55.66666667,42,50,59,55,68,60,56.33333333,64,38,35,67,75,59,60,43,58,69,78,0,80.8,77,80,81,84,82,81.75,85,84,79,79
Christian Benteke,Liverpool,80,ST,77,75,79,78.16666667,76,81,76,77,85,74,63,58,60,67,48,72,73,75,74,48,81,71,0,37.4,85,29,25,30,18,81.75,76,82,77,92
Lucas Leiva,Liverpool,79,CDM,56,55,57,47.66666667,49,23,35,61,71,47,65.83333333,63,66,47,73,77,69,69,70,73,74,78,0,78,65,84,80,81,80,79.5,83,82,77,76
Andre Ayew,Swansea City,79,RM,78,78,78,72.33333333,75,73,75,71,75,65,72.16666667,80,74,57,71,78,73,80,86,81,81,75,0,66.8,80,63,54,62,75,81.5,78,92,88,68
Max-Alain Gradel,Bournemouth,79,LW,88,88,88,73,74,75,71,75,73,70,70.5,73,68,74,64,74,70,83,85,69,81,79,0,46,66,51,38,40,35,63.25,55,68,72,58
 Jordan Henderson,Liverpool,79,CM,74.5,76,73,70.5,74,67,71,64,75,72,79.33333333,81,80,71,81,83,80,74,74,71,78,79,0,70,65,72,68,75,70,81.5,78,81,93,74
Angelo Ogbonna,West Ham United,79,CB,71,69,73,40.16666667,30,25,46,39,71,30,47.33333333,51,51,36,58,60,28,59,69,54,57,64,0,82.2,78,82,84,84,83,75.25,70,74,70,87
N'Golo Kante,Leicester City,79,CM,80.5,81,80,63.5,68,65,66,54,72,56,66.5,67,49,49,78,80,76,75,74,90,78,83,0,76.8,54,90,73,86,81,84.25,90,79,92,76
Danny Welbeck,Arsenal,79,ST,86,87,85,75.66666667,82,77,72,70,77,76,67.66666667,69,61,62,64,78,72,81,85,64,79,78,0,38.6,77,22,23,38,33,79.75,77,80,84,78
Kyle Walker,Tottenham Hotspur,79,RB,88.5,85,92,64.83333333,62,51,70,63,86,57,71.83333333,75,76,73,67,73,67,74,70,73,73,75,0,78.4,76,74,77,81,84,81.5,78,83,88,77
Seydou Doumbia,Newcastle United,79,ST,91,90,92,78.33333333,78,80,76,79,79,78,68.5,46,79,71,65,76,74,81,70,70,78,80,0,42.4,73,29,34,39,37,74.5,65,83,84,66
Dejan Lovren,Liverpool,79,CB,53.5,55,52,40.83333333,21,33,34,52,63,42,49.5,59,26,18,68,70,56,64,49,41,67,75,0,80.2,75,73,82,85,86,78,87,76,70,79
Memphis Depay,Manchester United,79,LM,90,91,89,75.5,76,73,81,66,88,69,75.66666667,67,85,90,65,73,74,85,82,84,82,81,0,30.2,55,21,24,31,20,73.25,62,74,79,78
Tomas Rosicky,Arsenal,79,CAM,66.5,66,67,72.16666667,78,65,70,74,75,71,78.83333333,77,81,70,80,83,82,82,78,73,85,77,0,45.6,46,49,32,45,56,63,74,58,64,56
Gael Clichy,Manchester City,79,LB,82.5,80,85,49.83333333,66,34,43,45,52,59,62.16666667,79,64,38,69,64,59,71,77,75,76,72,0,78.6,70,77,80,81,85,68.25,55,70,82,66
Ashley Young,Manchester United,79,LM,83.5,85,82,72,70,69,76,65,77,75,77,84,84,72,68,75,79,83,84,77,82,77,0,53.8,51,60,43,54,61,57.25,47,57,69,56
Kieran Gibbs,Arsenal,79,LB,81,79,83,59.83333333,65,47,65,63,72,47,67.33333333,76,64,52,65,78,69,77,73,74,77,81,0,78.4,68,79,80,82,83,72,72,70,77,69
Salomon Rondon,West Bromwich Albion,79,ST,76.5,76,77,75.33333333,82,80,70,62,85,73,52.5,48,53,52,40,69,53,75,72,48,76,73,0,36,86,33,25,23,13,74.5,72,67,68,91
Eliaquim Mangala,Manchester City,79,CB,74,70,78,44.83333333,39,27,41,46,72,44,53.5,59,47,48,59,61,47,56,62,57,66,74,0,79.2,83,75,75,79,84,84.75,90,86,77,86
Daley Blind,Manchester United,79,CB,61.5,65,58,60.33333333,66,46,64,56,68,62,71.66666667,65,70,55,80,83,77,73,73,70,80,84,0,78.8,69,84,80,84,77,76,68,71,92,73
Moussa Sissoko,Newcastle United,79,RM,80.5,79,82,73.16666667,76,72,71,68,85,67,74.33333333,76,75,74,74,79,68,80,76,63,79,79,0,71.6,70,76,69,72,71,83,77,77,92,86
Marko Arnautovic,Stoke City,79,LM,78.5,80,77,75.5,78,73,69,78,76,79,77,83,79,74,68,79,79,84,76,57,84,73,0,50.2,71,46,47,57,30,76,73,68,78,85
Gylfi Sigurdsson,Swansea City,79,CAM,67,67,67,80,80,81,83,80,82,74,81,78,83,86,75,80,84,76,72,62,82,77,0,52.4,60,37,55,53,57,68.5,57,70,80,67
Gareth Barry,Everton,79,CDM,41.5,32,51,66.5,58,56,71,72,77,65,79,80,78,78,81,83,74,64,52,63,73,78,0,79,74,82,79,80,80,76.5,80,70,79,77
Francis Coquelin,Arsenal,79,CDM,69.5,69,70,55.66666667,64,45,59,52,71,43,63.5,60,55,41,73,78,74,74,76,85,79,77,0,75.4,60,84,73,80,80,77.75,88,70,79,74
Jamie Vardy,Leicester City,79,ST,92,91,93,78,83,82,68,76,84,75,57.66666667,63,52,48,48,66,69,76,76,79,75,82,0,56.6,64,51,54,58,56,80,91,70,90,69
Kurt Zouma,Chelsea,79,CB,73,69,77,52.16666667,53,47,49,61,56,47,58,54,59,60,56,62,57,48,48,52,67,75,0,79.6,77,78,80,83,80,80.75,82,84,72,85
Ben Foster,West Bromwich Albion,79,GK,49,50,48,21.33333333,14,18,14,41,27,14,26.16666667,15,15,17,32,36,42,14,45,50,25,72,0,16.2,14,23,15,15,14,44.75,15,75,32,57
Jack Butland,Stoke City,79,GK,49.5,51,48,21.33333333,16,16,13,42,29,12,24.5,11,12,14,40,36,34,21,58,55,26,66,0,15.8,12,27,16,13,11,48.5,32,61,42,59
Martin Demichelis,Manchester City,78,CB,33.5,33,34,38.83333333,29,39,35,46,48,36,46.33333333,53,27,31,63,64,40,33,32,55,53,76,0,79.2,84,80,76,80,76,73.5,87,72,49,86
Federico Fernandez,Swansea City,78,CB,53.5,54,53,30.16666667,36,26,29,42,27,21,47.33333333,23,49,42,56,70,44,39,48,48,66,72,0,80.2,80,82,82,79,78,75.25,78,76,68,79
Kevin Wimmer,Tottenham Hotspur,78,CB,67,64,70,29.66666667,30,21,25,35,40,27,51.16666667,52,24,28,70,74,59,63,59,61,67,79,0,79,75,79,82,81,78,73.5,76,73,65,80
Anthony Martial,Manchester United,78,LM,89,90,88,75.66666667,80,81,68,71,80,74,65.16666667,67,73,54,58,75,64,85,84,80,81,81,0,34,72,42,21,18,17,75.5,62,81,79,80
Tim Krul,Newcastle United,78,GK,42.5,50,35,20.33333333,16,11,14,42,23,16,24.33333333,13,13,15,25,36,44,13,63,42,25,76,0,17.4,19,22,15,17,14,52.5,39,69,42,60
Cheick Tiote,Newcastle United,78,CDM,68,66,70,59.5,53,47,63,52,74,68,59.33333333,64,44,42,67,76,63,70,72,71,73,77,0,77.2,64,81,79,82,80,86,92,75,91,86
Mario Suarez,Watford,78,CM,62.5,60,65,66.66666667,74,64,70,69,80,43,74.5,66,67,72,80,84,78,76,52,60,79,78,0,73.4,69,80,68,76,74,72.25,76,58,78,77
Sadio Mane,Southampton,78,CF,92,93,91,71.5,77,76,66,71,73,66,69.16666667,68,74,64,67,73,69,84,88,85,77,75,0,37.2,53,29,33,33,38,62.5,61,58,65,66
Fernando,Manchester City,78,CDM,67,66,68,58.66666667,59,54,68,54,76,41,64.66666667,60,65,53,73,75,62,62,74,57,72,79,0,78.6,70,83,78,80,82,81,87,72,84,81
Aleksandar Kolarov,Manchester City,78,LB,67.5,69,66,72.16666667,69,55,80,74,91,64,79.83333333,90,85,81,77,70,76,78,64,58,74,79,0,79,75,80,75,83,82,79.25,84,78,77,78
Marcos Rojo,Manchester United,78,LB,74,74,74,61,59,52,63,64,79,49,67,78,67,57,74,69,57,69,69,62,68,74,0,81,83,79,79,82,82,83.25,88,85,77,83
Alex Oxlade-Chamberlain,Arsenal,78,RM,89,89,89,70.33333333,74,68,75,69,77,59,69,73,67,53,73,77,71,85,84,88,82,75,0,41.8,39,43,39,46,42,68.75,66,65,75,69
Dusan Tadic,Southampton,78,LM,71,72,70,71.33333333,73,66,66,81,69,73,80,79,83,76,77,81,84,83,81,77,84,80,0,38.8,63,31,40,34,26,65.25,56,65,73,67
Nacer Chadli,Tottenham Hotspur,78,LM,76.5,76,77,76.33333333,77,75,76,76,81,73,76,77,77,78,68,78,78,83,65,54,81,78,0,47.8,67,43,37,48,44,74.25,59,71,84,83
Ibrahim Afellay,Stoke City,78,CAM,77.5,78,77,72.83333333,73,71,76,70,75,72,77.5,78,79,75,74,81,78,81,77,79,82,75,0,50.4,46,54,36,62,54,63.75,52,75,69,59
Danny Rose,Tottenham Hotspur,78,LB,81.5,80,83,63.33333333,62,57,69,57,71,64,66.5,78,63,49,65,74,70,78,71,76,75,76,0,75.2,60,74,78,81,83,74.5,76,71,80,71
Emmanuel Adebayor,Crystal Palace,78,ST,71.5,68,75,77.66666667,76,78,71,79,82,80,63.16666667,58,69,44,55,78,75,77,65,52,76,75,0,35.6,80,31,23,25,19,75,70,76,70,84
Kolo Toure,Liverpool,78,CB,67.5,67,68,56.5,46,56,66,57,78,36,61.16666667,41,60,73,65,71,57,53,31,67,62,71,0,79,77,78,78,80,82,78.25,85,77,66,85
 Robert Huth,Leicester City,78,CB,42.5,32,53,53.16666667,34,46,54,54,75,56,47.16666667,31,30,61,68,61,32,31,26,42,53,76,0,80,83,80,78,82,77,77.75,91,51,76,93
Wes Morgan,Leicester City,78,CB,51.5,48,55,30.83333333,39,19,35,17,52,23,33.33333333,17,14,18,44,56,51,56,31,52,62,78,0,78.4,75,78,80,83,76,79.75,79,76,73,91
Scott Dann,Crystal Palace,78,CB,51.5,49,54,35.5,36,34,32,30,52,29,46.33333333,30,30,29,65,69,55,38,50,56,66,78,0,80.4,83,80,80,81,78,74.25,73,68,74,82
Lukasz Fabianski,Swansea City,78,GK,48.5,50,47,16.83333333,15,13,20,22,14,17,24.66666667,14,18,12,32,20,52,14,52,44,22,71,0,12.6,11,16,11,12,13,50.25,43,68,25,65
Jonny Evans,West Bromwich Albion,78,CB,68,69,67,35.5,28,28,25,44,42,46,48,52,32,25,62,72,45,39,50,57,68,78,0,80.6,81,81,78,81,82,75,78,80,69,73
Ryan Bertrand,Southampton,78,LB,78,79,77,50.83333333,62,35,54,52,59,43,65.83333333,79,67,52,70,76,51,74,76,71,76,76,0,77.6,69,77,79,81,82,73.5,73,71,79,71
Kasper Schmeichel,Leicester City,78,GK,62,64,60,19.5,14,12,14,26,36,15,24,18,13,15,18,21,59,12,62,47,24,75,0,15.4,16,20,14,14,13,47.5,33,60,35,62
