name,team,rating,position,pace,acceleration,sprint_speed,shooting,positioning,finishing,long_shot,penalties,shot_power,volleys,passing,crossing,curve,freekick_accuracy,longpass,shortpass,vision,dribbling,agility,balance,ball_control,reactions,composure,defending,heading_accuracy,interceptions,marking,stand_tackle,slide_tackle,physicality,aggression,jumping,stamina,strength
Santi Cazorla,Arsenal,86,CAM,71.5,77,66,78.5,82,77,82,80,78,72,84,85,86,78,84,86,85,86,85,91,87,85,0,59.2,58,64,58,64,52,66.75,64,71,72,60
Harry Kane,Tottenham Hotspur,85,ST,73,69,77,81.66666667,86,88,78,82,86,70,70.16666667,70,71,66,67,75,72,77,74,62,82,85,0,46.6,83,35,41,36,38,78,74,70,84,84
Henrikh Mkhitaryan,Manchester United,85,RM,84.5,85,84,78.5,83,73,75,72,87,81,78.33333333,80,83,64,73,85,85,86,88,83,89,83,0,55.6,53,68,49,53,55,72.25,69,72,85,63
Christian Eriksen,Tottenham Hotspur,85,CAM,76,78,74,74.83333333,81,75,79,67,78,69,85.16666667,84,85,87,82,87,86,84,77,81,86,82,0,42.6,52,45,38,56,22,60.25,44,57,88,52
Ilkay Gundogan,Manchester City,85,CM,75.5,77,74,74.66666667,77,69,74,76,77,75,81.5,74,81,74,83,90,87,87,85,83,88,87,0,62.6,49,79,57,64,64,69.25,68,62,73,74
Toby Alderweireld,Tottenham Hotspur,85,CB,66,63,69,58.5,56,45,66,60,86,38,69,64,63,69,81,77,60,61,60,49,70,84,0,85.2,83,86,86,88,83,79.5,79,83,75,81
Willian,Chelsea,85,RM,89,92,86,70.5,78,75,80,60,71,59,80.33333333,75,80,85,77,82,83,87,87,82,86,81,0,48,29,55,43,62,51,59.25,44,46,86,61
Juan Mata,Manchester United,85,CAM,69,75,63,76.16666667,82,78,70,81,75,71,83.5,83,84,84,77,86,87,83,89,89,88,85,0,35.2,63,39,25,28,21,60.25,52,72,74,43
Dimitri Payet,West Ham United,85,LM,77,79,75,78.66666667,80,76,83,76,78,79,87,86,90,91,84,86,85,89,80,81,89,76,0,40,59,37,29,36,39,63.5,57,48,73,76
Laurent Koscielny,Arsenal,85,CB,79.5,79,80,41.66666667,31,32,47,51,54,35,54,54,22,49,67,76,56,62,70,62,67,80,0,85,84,86,83,87,85,81.25,90,86,74,75
Harry Kane,Tottenham Hotspur,85,ST,73,69,77,81.66666667,86,88,78,82,86,70,70.16666667,70,71,66,67,75,72,77,74,62,82,85,0,46.6,83,35,41,36,38,78,74,70,84,84
Nicolas Otamendi,Manchester City,84,CB,71.5,68,75,54.5,49,53,56,44,69,56,52.66666667,52,50,39,66,64,45,41,71,62,60,78,0,84.6,86,84,83,85,85,84.75,89,90,78,82
Riyad Mahrez,Leicester City,84,RM,82.5,86,79,75.33333333,81,78,74,72,76,71,78.5,82,78,74,76,80,81,88,92,80,90,75,0,31.2,45,38,25,27,21,58,40,59,76,57
Chris Smalling,Manchester United,84,CB,76.5,76,77,46.83333333,48,50,35,52,42,54,50.16666667,52,49,22,63,66,49,59,60,48,63,83,0,83.4,86,82,82,85,82,80.75,82,75,79,87
Romelu Lukaku,Everton,84,ST,81,76,86,80.83333333,84,84,76,80,88,73,65.5,68,64,66,58,68,69,76,62,48,79,77,0,39.4,83,27,27,30,30,79,72,71,80,93
John Terry,Chelsea,84,CB,33.5,33,34,47.5,38,46,33,52,61,55,51,42,44,31,64,66,59,45,44,46,60,83,0,86.2,90,86,85,86,84,78.25,80,80,67,86
Steve Mandanda,Crystal Palace,84,GK,48,53,43,13.83333333,11,13,11,11,24,13,26.5,14,13,12,28,37,55,15,52,36,17,81,0,14.8,13,23,10,15,13,50.75,37,74,31,61
Granit Xhaka,Arsenal,84,CM,51,48,54,68.16666667,78,49,85,59,88,50,77.66666667,68,68,70,89,85,86,70,55,62,80,86,0,70.4,62,76,71,75,68,71.25,90,40,79,76
Nemanja Matic,Chelsea,84,CDM,67,66,68,71.33333333,68,64,75,69,78,74,73.66666667,68,68,67,80,82,77,72,57,53,79,82,0,80.2,77,86,76,84,78,83.5,83,71,90,90
Yaya Toure,Manchester City,84,CM,73.5,69,78,81,80,82,85,85,86,68,81,67,80,85,83,86,85,79,60,55,82,82,0,70.2,74,60,66,76,75,78.5,78,65,80,91
Daniel Sturridge,Liverpool,84,ST,86.5,86,87,81,84,85,83,75,83,76,67.16666667,62,62,68,62,75,74,84,78,64,81,82,0,29.2,73,22,15,24,12,69.75,60,74,72,73
Aaron Ramsey,Arsenal,84,CM,69,69,69,78.16666667,83,76,75,75,81,79,76.83333333,75,70,70,80,85,81,81,77,75,84,82,0,67,58,73,62,74,68,75,74,65,92,69
David Luiz,Chelsea,84,CB,72.5,72,73,66.16666667,54,56,71,75,74,67,73.33333333,68,70,76,78,79,69,66,74,56,79,79,0,82.6,83,80,81,85,84,80,84,82,77,77
Asmir Begovic,Chelsea,83,GK,55,52,58,19.16666667,11,12,12,40,28,12,22.5,14,17,15,32,26,31,16,53,41,24,79,0,13.8,12,21,13,11,12,49,42,38,36,80
Jan Vertonghen,Tottenham Hotspur,83,CB,67.5,69,66,66.16666667,63,60,68,68,86,52,68.33333333,68,58,73,74,75,62,66,62,55,74,81,0,82.4,82,83,81,85,81,80.75,83,80,79,81
N'Golo Kante,Chelsea,83,CM,80.5,81,80,63.66666667,69,65,66,54,72,56,67.33333333,67,49,49,79,84,76,76,76,90,79,85,0,78,54,91,75,87,83,84.75,90,79,94,76
Wayne Rooney,Manchester United,83,CAM,71,69,73,83.83333333,85,84,84,79,86,85,81.66666667,78,84,81,85,79,83,77,77,77,80,83,0,53.8,76,54,48,54,37,82.5,81,81,84,84
Olivier Giroud,Arsenal,83,ST,60.5,61,60,81.83333333,84,84,76,81,84,82,67.66666667,63,70,65,56,77,75,72,60,52,82,83,0,42.4,88,41,26,37,20,81.25,76,82,79,88
 Eric Bailly,Manchester United,83,CB,81,79,83,42.33333333,36,33,48,46,55,36,48,41,42,43,56,71,35,54,74,65,63,75,0,82.6,74,85,83,85,86,83.75,86,84,81,84
Leighton Baines,Everton,83,LB,75.5,76,75,76.16666667,75,70,75,90,84,63,80.83333333,91,81,82,74,81,76,77,75,85,76,80,0,79.8,74,80,81,82,82,75.25,74,72,86,69
Islam Slimani,Leicester City,83,ST,72.5,69,76,78,86,81,72,72,78,79,63.66666667,58,73,47,59,73,72,74,66,57,76,84,0,50.4,92,54,34,48,24,88,88,87,91,86
Ashley Williams,Everton,83,CB,70,68,72,41.33333333,28,37,40,45,64,34,48,32,34,23,74,72,53,57,58,59,69,81,0,81.6,79,83,81,85,80,82,83,86,73,86
Nolito,Manchester City,83,LW,77.5,79,76,76.33333333,82,82,81,74,74,65,78.66666667,81,83,80,67,80,81,83,84,81,83,84,0,39.4,45,58,30,39,25,68,73,63,74,62
Marcos Rojo,Manchester United,83,CB,74,74,74,61,59,52,63,64,79,49,67,76,67,57,73,72,57,69,71,62,71,79,0,82,85,80,79,83,83,84.75,89,86,81,83
Gary Cahill,Chelsea,83,CB,67.5,69,66,55,45,56,66,53,63,47,47.5,28,48,27,61,65,56,58,62,51,63,84,0,84.2,86,83,83,85,84,76.5,78,82,68,78
Joel Matip,Liverpool,83,CB,72,67,77,48.83333333,51,36,48,42,66,50,60.83333333,54,63,22,77,77,72,68,58,50,71,81,0,83.8,88,84,85,84,78,75,81,65,75,79
Claudio Bravo,Manchester City,83,GK,56,58,54,17.5,15,13,21,23,22,11,38.5,12,25,60,31,32,71,13,64,64,15,77,0,17.8,18,23,11,18,19,58.75,40,81,44,70
Roberto Firmino,Liverpool,83,ST,79,79,79,79.16666667,84,82,80,72,79,78,76.83333333,72,80,67,76,83,83,87,82,81,83,81,0,49.2,73,37,30,64,42,76.75,64,81,86,76
Jose Fonte,Southampton,83,CB,54.5,55,54,35.83333333,40,40,29,43,29,34,45.5,36,33,32,54,63,55,59,62,56,64,85,0,82.6,77,85,84,85,82,77.25,84,73,69,83
Ander Herrera,Manchester United,83,CM,73,78,68,73.66666667,79,71,74,79,72,67,78.16666667,74,78,65,80,86,86,81,85,84,85,85,0,69.2,60,80,66,72,68,74.5,85,63,85,65
Oscar,Chelsea,83,CAM,77.5,78,77,73.33333333,81,75,77,68,76,63,78.33333333,70,77,77,80,83,83,82,86,80,84,81,0,44.4,54,34,37,50,47,52.25,31,66,76,36
Azpilicueta,Chelsea,83,CB,79,79,79,59.66666667,64,46,60,66,68,54,70.83333333,79,66,58,74,80,68,70,75,73,77,88,0,83.6,71,85,87,88,87,78,76,75,88,73
Pedro,Chelsea,83,LM,82,86,78,74,84,80,73,66,71,70,73.83333333,78,81,57,70,83,74,84,84,82,85,83,0,39.4,55,49,30,32,31,64.25,56,67,78,56
Adam Lallana,Liverpool,83,CM,75,76,74,73.66666667,77,79,72,70,72,72,77.33333333,74,77,66,78,86,83,85,83,76,85,78,0,64.4,67,66,60,68,61,75,74,73,86,67
Shkodran Mustafi, Arsenal,83,CB,70,67,73,55.16666667,50,58,52,54,66,51,58.5,51,55,47,69,77,52,51,66,69,70,81,0,83,80,85,82,83,85,79.5,79,85,73,81
Fernandinho,Manchester City,82,CDM,77,77,77,73.16666667,68,70,81,61,83,76,74.5,68,70,71,81,82,75,78,79,79,76,82,0,74.4,55,86,72,81,78,78.25,86,72,82,73
Xherdan Shaqiri,Stoke City,82,RM,86.5,89,84,75.66666667,77,74,78,65,84,76,78,74,82,78,75,80,79,84,87,94,83,79,0,51.6,37,65,51,52,53,69.5,64,63,78,73
Virgil van Dijk,Southampton,82,CB,75,74,76,58,41,55,64,62,81,45,65.33333333,53,60,70,76,74,59,69,57,51,71,74,0,81.4,76,83,82,85,81,80.25,76,81,72,92
Per Mertesacker,Arsenal,82,CB,27,26,28,41.16666667,43,36,25,42,71,30,50.83333333,38,39,45,58,67,58,39,29,28,65,83,0,86.2,86,88,86,87,84,62.25,69,32,61,87
Pablo Zabaleta,Manchester City,82,RB,67.5,67,68,60,71,49,57,64,66,53,68.5,75,68,66,64,72,66,73,71,66,76,86,0,83.4,76,86,86,85,84,84,88,84,85,79
Dejan Lovren,Liverpool,82,CB,59.5,61,58,40.83333333,21,33,34,52,63,42,48.83333333,59,26,18,66,68,56,64,54,41,67,75,0,82,77,82,80,85,86,81,87,82,70,85
Phil Jagielka,Everton,82,CB,67,66,68,52.66666667,51,30,54,68,69,44,52.83333333,55,55,31,66,71,39,49,51,64,62,74,0,82.8,79,85,82,85,83,81.75,79,87,78,83
Jordan Henderson,Liverpool,82,CDM,74.5,76,73,70.5,74,67,71,64,75,72,80.5,81,80,74,83,85,80,74,74,71,82,79,0,74.6,65,79,73,80,76,82,79,81,93,75
Bacary Sagna,Manchester City,82,RB,75,75,75,58.66666667,66,40,62,59,69,56,63.66666667,80,66,47,64,66,59,74,68,76,75,80,0,82,79,79,84,84,84,80.5,75,84,84,79
Kasper Schmeichel,Leicester City,82,GK,61,62,60,19.5,14,12,14,26,36,15,24,18,13,15,18,21,59,12,62,47,24,78,0,15.4,16,20,14,14,13,47.5,33,60,35,62
 Raheem Sterling,Manchester City,82,RM,93,94,92,69,81,73,70,63,68,59,67.33333333,71,64,49,67,77,76,86,90,91,84,79,0,44.8,38,26,48,58,54,58.25,34,60,75,64
Loris Karius,Liverpool,82,GK,49,48,50,15.83333333,8,18,16,19,20,14,26.16666667,14,12,14,37,35,45,16,51,43,23,83,0,12.8,14,13,13,11,13,45.75,18,74,36,55
Dele Alli,Tottenham Hotspur,82,CAM,76.5,77,76,72.5,84,79,74,52,75,71,69.16666667,65,67,46,73,83,81,80,74,58,83,83,0,61.8,70,65,57,60,57,76.75,84,65,88,70
Antonio Valencia,Manchester United,82,RB,85.5,87,84,67.83333333,78,58,62,55,85,69,71.83333333,85,69,66,69,75,67,82,74,87,80,84,0,76,64,80,77,82,77,81,84,68,87,85
Morgan Schneiderlin,Manchester United,82,CDM,66.5,69,64,61.66666667,67,64,56,56,71,56,71.16666667,65,68,61,78,82,73,73,71,71,79,81,0,78.2,71,82,76,82,80,80.75,84,72,90,77
Marko Arnautovic,Stoke City,82,LM,78,78,78,76.66666667,79,75,71,78,78,79,77.16666667,83,79,74,68,79,80,84,76,57,85,73,0,50.4,72,46,47,57,30,76.25,73,68,79,85
Anthony Martial,Manchester United,82,LM,91.5,92,91,77.16666667,80,82,72,71,84,74,67.66666667,73,76,54,58,75,70,88,85,85,84,81,0,44.8,70,42,35,39,38,74.75,59,80,80,80
Seamus Coleman,Everton,82,RB,79,79,79,68,76,65,68,60,75,64,62.5,81,42,35,70,77,70,78,77,74,77,81,0,79,67,77,83,84,84,78.25,78,72,90,73
Jack Wilshere,Bournemouth,82,CM,76.5,79,74,70.16666667,80,64,73,65,75,64,79.5,73,80,72,83,84,85,84,83,87,84,80,0,61.6,58,61,61,63,65,74.5,83,67,82,66
Bastian Schweinsteiger,Manchester United,82,CM,51,50,52,79.16666667,78,70,80,83,82,82,81.66666667,78,82,78,84,84,84,72,67,63,81,84,0,75.6,78,83,68,74,75,73.75,80,80,58,77
Jack Butland,Stoke City,82,GK,49.5,51,48,21.33333333,16,16,13,42,29,12,24.5,11,12,14,40,36,34,21,58,55,26,73,0,15.8,12,27,16,13,11,48.5,32,61,42,59
Gylfi Sigurdsson,Swansea City,82,CAM,68,67,69,80.16666667,80,81,83,80,82,75,82.83333333,81,86,88,75,83,84,78,72,62,82,77,0,53.4,60,37,55,58,57,69.25,57,70,83,67
Mamadou Sakho,Liverpool,82,CB,61.5,55,68,34,32,23,38,40,51,20,55,60,50,30,66,75,49,50,61,55,61,72,0,79.8,71,82,79,84,83,82.25,85,82,72,90
Sadio Mane,Liverpool,82,RW,93,94,92,73.5,82,80,66,71,76,66,72,72,74,64,72,75,75,85,88,85,82,77,0,37.2,53,29,33,33,38,74.75,71,73,83,72
Moussa Dembele,Tottenham Hotspur,82,CM,77.5,78,77,73,71,66,72,67,85,77,70.66666667,65,65,55,79,84,76,85,83,71,84,78,0,71.6,68,78,67,80,65,80.75,74,77,82,90
Kyle Walker,Tottenham Hotspur,82,RB,90,87,93,65.16666667,66,51,68,63,86,57,72.66666667,79,76,71,67,74,69,75,70,73,75,77,0,78.6,74,75,79,81,84,82,78,83,90,77
Ross Barkley,Everton,81,CAM,78.5,79,78,71,71,70,79,65,80,61,74.33333333,65,68,70,78,84,81,85,70,59,84,77,0,55.6,65,45,56,60,52,71.75,73,63,74,77
Daley Blind,Manchester United,81,CB,61.5,65,58,60.33333333,66,46,64,56,68,62,74,70,76,55,81,83,79,73,73,75,80,85,0,80,71,86,82,84,77,75.25,71,71,86,73
Lucas Perez,Arsenal,81,ST,77,76,78,81.5,81,85,82,79,83,79,76.33333333,74,83,78,70,77,76,81,74,75,82,81,0,36,68,38,24,24,26,70.25,69,65,74,73
Deulofeu,Everton,81,RM,90.5,89,92,67.66666667,78,74,65,70,64,55,73.83333333,79,84,75,60,73,72,89,93,77,86,77,0,27.4,40,25,20,30,22,61.75,40,72,76,59
Erik Lamela, Tottenham Hotspur,81,RM,79,81,77,78.5,79,75,82,75,80,80,79.33333333,77,83,79,73,83,81,86,78,71,83,77,0,47.4,71,43,37,47,39,69.25,74,64,82,57
Bojan,Stoke City,81,CAM,77,79,75,73.66666667,76,70,72,68,77,79,76,68,83,66,74,81,84,82,83,84,82,77,0,26.4,42,29,20,22,19,47.5,30,48,67,45
Michy Batshuayi,Chelsea,81,ST,82.5,81,84,77.66666667,83,83,76,67,83,74,55.83333333,65,61,46,36,64,63,78,84,78,79,79,0,32,73,23,16,26,22,71.75,59,81,65,82
Wilfried Bony,Stoke City,81,ST,72,69,75,80.66666667,83,83,80,77,85,76,57.83333333,45,66,58,45,68,65,74,67,72,76,81,0,43.4,84,38,25,42,28,82,70,86,78,94
Loic Remy,Crystal Palace,81,ST,88,89,87,77.5,81,80,77,78,78,71,64,61,66,51,60,75,71,75,77,65,76,77,0,39.2,80,48,23,24,21,73.25,57,89,73,74
Michael Carrick,Manchester United,81,CDM,52.5,53,52,67.5,66,59,71,64,78,67,75.83333333,72,68,59,85,86,85,71,58,63,80,85,0,76.2,73,83,74,79,72,68.5,67,72,69,66
Christian Benteke,Crystal Palace,81,ST,77,75,79,77.83333333,76,79,76,77,85,74,63,58,60,67,48,72,73,72,74,48,81,71,0,37.6,86,29,25,30,18,81.25,76,82,77,90
Salomon Rondon,West Bromwich Albion,81,ST,76.5,76,77,75.5,82,81,70,62,85,73,52.5,48,53,52,40,69,53,75,72,48,78,73,0,36.4,88,33,25,23,13,75.75,72,72,68,91
Francis Coquelin,Arsenal,81,CDM,69.5,69,70,55.66666667,64,45,59,52,71,43,63.33333333,60,55,41,73,78,73,74,76,85,79,77,0,77,60,87,78,80,80,81,92,73,83,76
Nathaniel Clyne,Liverpool,81,RB,86,86,86,60,72,54,69,46,74,45,65,80,64,39,67,76,64,78,84,76,76,75,0,78.2,66,76,80,83,86,75.25,76,67,87,71
Nacho Monreal,Arsenal,81,LB,76.5,77,76,58.16666667,61,39,61,61,71,56,69.66666667,81,74,59,61,77,66,74,74,72,77,79,0,78.4,67,82,80,82,81,74.75,74,75,85,65
Theo Walcott,Arsenal,81,RM,92.5,92,93,75.66666667,81,82,69,74,76,72,73.33333333,77,76,74,65,75,73,80,82,79,79,79,0,39.8,56,35,33,39,36,67,65,66,75,62
Luke Shaw,Manchester United,81,LB,85.5,83,88,56.33333333,73,44,48,53,62,58,67.16666667,78,63,58,64,75,65,79,80,75,76,79,0,77.8,67,79,81,82,80,76.25,74,68,83,80
Roberto Pereyra,Watford,81,CM,81,81,81,70.83333333,80,61,72,72,66,74,78.33333333,78,78,72,77,83,82,84,82,75,85,76,0,66.8,60,70,64,70,70,69.5,66,65,83,64
James McCarthy,Everton,81,CDM,72,75,69,62.16666667,63,57,65,60,67,61,71.83333333,68,64,64,81,82,72,78,66,71,77,75,0,76,63,79,81,79,78,78.5,79,66,91,78
Kevin Mirallas,Everton,81,LM,88,89,87,77,80,78,76,75,77,76,76.5,82,77,76,77,80,67,84,86,74,82,76,0,49.4,64,35,40,55,53,67,58,73,76,61
Danny Rose,Tottenham Hotspur,81,LB,82.5,81,84,63.83333333,64,57,69,57,72,64,68.83333333,79,64,57,66,75,72,79,73,76,76,79,0,77.2,60,79,80,83,84,77.75,85,71,83,72
Ryan Shawcross,Stoke City,81,CB,54,54,54,39.83333333,31,53,28,48,44,35,45.5,33,34,24,69,63,50,42,62,57,54,73,0,82.2,84,82,82,83,80,81,85,72,79,88
Adrian,West Ham United,80,GK,45,46,44,24,12,16,20,44,40,12,21,12,12,17,32,21,32,15,47,48,23,75,0,17.4,15,25,14,19,14,54.75,38,69,38,74
Georginio Wijnaldum,Liverpool,80,CM,82,79,85,75.5,82,76,71,74,77,73,73.33333333,67,76,71,68,82,76,86,82,80,84,82,0,66.4,72,70,59,67,64,73.75,61,82,86,66
Andre Ayew,West Ham United,80,RM,78,78,78,72.66666667,75,75,75,71,75,65,72.5,80,74,57,71,78,75,80,86,81,82,75,0,64.2,80,57,54,62,68,82.75,78,92,88,73
Ben Foster,West Bromwich Albion,80,GK,49,50,48,21.33333333,14,18,14,41,27,14,26.16666667,15,15,17,32,36,42,14,45,50,25,72,0,16.2,14,23,15,15,14,44.75,15,75,32,57
Phil Jones,Manchester United,80,CB,61.5,55,68,55.66666667,42,50,59,55,68,60,56.33333333,64,38,35,67,75,59,60,43,62,69,78,0,79.8,75,79,81,82,82,82,85,83,80,80
Gareth Barry,Everton,80,CDM,33,32,34,66.5,58,56,71,72,77,65,79,80,78,78,81,83,74,64,52,63,73,78,0,79,74,82,79,80,80,76.5,80,70,79,77
Branislav Ivanovic,Chelsea,80,RB,64.5,63,66,59.83333333,61,57,62,58,73,48,61.83333333,72,70,48,56,68,57,58,57,47,66,83,0,84.6,87,82,87,84,83,84,90,83,78,85
Michel Vorm,Tottenham Hotspur,80,GK,57.5,57,58,19.83333333,10,14,19,41,23,12,24.16666667,13,12,14,35,39,32,18,67,53,35,82,0,17,17,28,15,11,14,49.75,23,73,38,65
Gael Clichy,Manchester City,80,LB,82.5,80,85,49.83333333,66,34,43,45,52,59,62.16666667,79,64,38,69,64,59,71,77,75,76,72,0,78.6,70,77,80,81,85,68.25,55,70,82,66
Angelo Ogbonna,West Ham United,80,CB,71.5,70,73,40.16666667,30,25,46,39,71,30,53.83333333,51,51,36,67,68,50,61,60,54,59,64,0,82,78,84,81,84,83,74.5,70,74,70,84
Claudio Yacob,West Bromwich Albion,80,CDM,53,55,51,53.16666667,42,58,67,66,63,23,61.16666667,34,52,55,74,83,69,66,59,68,76,77,0,78.8,78,84,77,81,74,78.5,85,76,83,70
Hector Bellerin,Arsenal,80,RB,95,96,94,52.83333333,67,52,43,62,52,41,63.83333333,74,63,50,59,74,63,76,84,77,76,76,0,73.8,60,76,76,77,80,70.5,72,65,84,61
Danny Drinkwater,Leicester City,80,CM,68,68,68,66.33333333,74,61,73,53,76,61,74.16666667,64,70,69,83,81,78,73,69,78,80,79,0,72.2,61,76,70,79,75,71.25,72,56,83,74
Danny Welbeck,Arsenal,80,ST,86,87,85,75.16666667,81,77,70,70,77,76,67.5,69,61,62,64,77,72,81,85,64,78,78,0,38.2,75,22,23,38,33,79.75,77,80,84,78
Ron-Robert Zieler,Leicester City,80,GK,48,46,50,16,15,10,14,24,21,12,20.33333333,15,11,10,22,25,39,12,43,41,22,80,0,14,13,21,11,12,13,47,32,69,32,55
James Milner,Liverpool,80,LB,70,71,69,78.5,77,68,79,83,85,79,81.83333333,86,81,79,82,85,78,77,73,73,78,84,0,75.2,69,76,76,78,77,75.75,75,64,91,73
Emre Can,Liverpool,80,CM,74.5,72,77,67,73,60,70,60,78,61,73.33333333,70,68,65,80,81,76,78,75,70,82,77,0,76.6,70,77,78,80,78,81.25,82,74,86,83
Yohan Cabaye,Crystal Palace,80,CDM,67,66,68,74.16666667,70,70,76,78,78,73,78.66666667,72,77,77,81,83,82,71,72,77,82,78,0,73.8,70,79,72,75,73,73.5,77,70,79,68
Wilfried Zaha,Crystal Palace,80,RM,89,89,89,65.83333333,73,74,60,66,71,51,64.83333333,78,54,51,63,71,72,87,86,82,86,73,0,33.2,43,23,36,30,34,67,68,50,78,72
Jesus Navas,Manchester City,80,RM,88.5,89,88,70.66666667,74,66,74,56,75,79,72,79,80,46,74,77,76,83,87,87,81,77,0,30.6,47,33,27,20,26,56.25,50,62,79,34
Lukasz Fabianski,Swansea City,80,GK,48.5,50,47,16.83333333,15,13,20,22,14,17,24.66666667,14,18,12,32,20,52,14,52,44,22,71,0,12.6,11,16,11,12,13,50.25,43,68,25,65
Nordin Amrabat,Watford,80,RM,86,87,85,75.33333333,73,76,72,77,81,73,74.5,78,77,68,67,79,78,84,88,79,80,73,0,54.6,68,54,31,65,55,68.25,67,56,73,77
Matteo Darmian,Manchester United,80,RB,80,80,80,58,64,55,56,45,69,59,63.5,73,69,35,66,75,63,74,80,78,75,78,0,79.2,70,79,81,84,82,75.5,78,72,87,65
Sofiane Boufal,Southampton,80,LW,85.5,86,85,72,76,75,69,69,73,70,71.33333333,70,71,72,66,76,73,88,90,85,86,72,0,34,35,19,44,40,32,47.75,47,34,70,40
Lucas Leiva,Liverpool,80,CDM,54,55,53,47.66666667,49,23,35,61,71,47,66,63,66,47,73,78,69,69,70,73,74,78,0,78.2,65,85,80,81,80,79.5,83,82,77,76
Moussa Sissoko,Tottenham Hotspur,80,RM,80.5,79,82,73.16666667,76,72,71,68,85,67,74.33333333,76,75,74,74,79,68,80,74,63,78,79,0,71.6,70,76,69,72,71,82.75,77,80,88,86
Winston Reid,West Ham United,80,CB,72.5,71,74,49.66666667,42,46,53,55,72,30,44.5,28,33,38,62,62,44,43,57,43,57,79,0,81.4,83,80,81,81,82,78.75,84,74,76,81
Jamie Vardy,Leicester City,80,ST,93,94,92,78,82,82,68,76,85,75,59.33333333,63,59,48,48,66,72,75,77,79,76,83,0,52.8,64,49,48,52,51,80.25,92,70,90,69
Kurt Zouma,Chelsea,80,CB,73,69,77,52.16666667,53,47,49,61,56,47,58,54,59,60,56,62,57,48,48,52,67,75,0,79.6,77,78,80,83,80,80.75,82,84,72,85
Ragnar Klavan,Liverpool,79,CB,64,63,65,46.16666667,38,38,56,44,67,34,56.5,52,48,34,73,72,60,56,61,56,70,75,0,78.4,78,75,80,82,77,77.5,77,78,75,80
Ryan Bertrand,Southampton,79,LB,80,81,79,50.83333333,62,35,54,52,59,43,69.83333333,79,74,69,70,76,51,74,76,71,76,76,0,77.6,69,77,79,81,82,73.5,73,71,79,71
